Customer_ID,Retention_Strategy,Recommended_Strategy,Churn_Probability,Projected_Churn,Lifetime_Value
CUST_4D8TQ7,Email Campaign,Re-engagement Campaign,0.11,0.0968,6457.94
CUST_PE88A7,Email Campaign,Discounts,0.54,0.4968000000000001,9793.48
CUST_FQDNFA,Loyalty Program,Standard Communication,0.78,0.78,2071.72
CUST_5LNW0H,Email Campaign,Standard Communication,0.97,0.97,4032.5
CUST_5YEMJD,Loyalty Program,Standard Communication,0.6,0.6,4170.08
CUST_QU7QVL,Discount,Standard Communication,0.28,0.28,5093.39
CUST_29DO3Z,Discount,Standard Communication,0.24,0.24,1686.06
CUST_L6Y0LJ,Email Campaign,Standard Communication,0.26,0.26,8156.23
CUST_3CJ2R1,Loyalty Program,Standard Communication,0.18,0.18,4456.32
CUST_TWR7Q9,Loyalty Program,Standard Communication,0.92,0.92,3278.04
CUST_BT8F7N,Discount,Standard Communication,0.24,0.24,8513.1
CUST_44WU3H,Email Campaign,VIP Treatment,0.99,0.8415,9777.23
CUST_9CCEOL,Loyalty Program,Standard Communication,0.04,0.04,7429.9
CUST_5CMJNC,Loyalty Program,VIP Treatment,1.0,0.85,9884.14
CUST_RIOS1B,Discount,VIP Treatment,0.75,0.6375,9939.87
CUST_UHM0W0,Loyalty Program,Discounts,0.3,0.276,481.09
CUST_XYCV8A,Loyalty Program,Re-engagement Campaign,0.25,0.22,4389.88
CUST_1XBJ9U,Email Campaign,Discounts,0.45,0.41400000000000003,6536.15
CUST_SG4B8W,Loyalty Program,Standard Communication,0.28,0.28,514.55
CUST_YNB5QL,Loyalty Program,Discounts,0.37,0.34040000000000004,6446.33
CUST_UL763Z,Discount,Discounts,0.36,0.3312,3209.14
CUST_PLP8HF,Discount,Standard Communication,0.09,0.09,4250.12
CUST_RB6RRC,Discount,Discounts,0.49,0.45080000000000003,3399.96
CUST_E8RVBQ,Email Campaign,Discounts,0.54,0.4968000000000001,4979.03
CUST_BY0GMM,Email Campaign,VIP Treatment,0.92,0.782,6700.23
CUST_A2HM1J,Discount,Discounts,0.35,0.322,8484.97
CUST_8G18L2,Discount,Standard Communication,0.94,0.94,2131.19
CUST_G141RX,Email Campaign,Standard Communication,0.82,0.82,5732.6
CUST_VZC5ZH,Discount,Re-engagement Campaign,0.04,0.0352,4436.29
CUST_FSDTLK,Discount,Standard Communication,0.08,0.08,549.09
CUST_JPDA4D,Loyalty Program,Standard Communication,0.76,0.76,3714.99
CUST_H4OVTS,Discount,Standard Communication,0.13,0.13,7543.91
CUST_Q19TO6,Email Campaign,Standard Communication,0.23,0.23,6924.0
CUST_QH5U2G,Email Campaign,Standard Communication,0.12,0.12,955.14
CUST_REKKSM,Discount,Standard Communication,0.8,0.8,5970.92
CUST_12P5SP,Discount,Re-engagement Campaign,0.05,0.044000000000000004,6353.19
CUST_934TJ6,Loyalty Program,Discounts,0.37,0.34040000000000004,6435.21
CUST_FJPJ16,Discount,Loyalty Programs,0.08,0.07200000000000001,3889.56
CUST_4LYGW1,Loyalty Program,Standard Communication,0.15,0.15,6286.12
CUST_SASUTZ,Email Campaign,Standard Communication,0.25,0.25,2173.1
CUST_1F6ITR,Loyalty Program,Re-engagement Campaign,0.94,0.8271999999999999,182.6
CUST_A8JHLW,Loyalty Program,Standard Communication,0.28,0.28,7565.07
CUST_W8IZWM,Loyalty Program,Discounts,0.53,0.48760000000000003,9792.55
CUST_6P1OQQ,Loyalty Program,Discounts,0.43,0.3956,2945.99
CUST_A6XFY9,Discount,Re-engagement Campaign,0.22,0.1936,5576.28
CUST_MW3LV2,Email Campaign,Discounts,0.37,0.34040000000000004,726.95
CUST_A9PHFE,Email Campaign,Standard Communication,0.76,0.76,3128.79
CUST_HOB0YK,Loyalty Program,VIP Treatment,0.74,0.629,8802.47
CUST_BRRRRU,Loyalty Program,Re-engagement Campaign,0.24,0.2112,843.02
CUST_DA0I76,Loyalty Program,Standard Communication,0.25,0.25,7759.72
CUST_7GAVM9,Loyalty Program,Standard Communication,0.04,0.04,3421.3
CUST_Z6QSTD,Loyalty Program,Re-engagement Campaign,0.23,0.2024,2682.46
CUST_HXOYK8,Email Campaign,Standard Communication,0.08,0.08,3408.85
CUST_VLBL5K,Loyalty Program,Discounts,0.39,0.3588,6008.65
CUST_5T9TN8,Discount,Standard Communication,0.86,0.86,4170.5
CUST_2WBGJJ,Discount,Loyalty Programs,0.12,0.108,666.12
CUST_I40LLF,Discount,Discounts,0.49,0.45080000000000003,1517.8
CUST_7USGEB,Email Campaign,Standard Communication,0.1,0.1,977.86
CUST_ZYJ13O,Discount,VIP Treatment,0.86,0.731,7231.13
CUST_ZIMOOB,Loyalty Program,Standard Communication,0.24,0.24,1666.64
CUST_BQQQVX,Loyalty Program,Discounts,0.38,0.3496,567.28
CUST_52EO2K,Discount,Standard Communication,0.12,0.12,9238.72
CUST_0H7Z3X,Discount,Standard Communication,0.13,0.13,8896.81
CUST_QAXZQT,Discount,Discounts,0.51,0.4692,6765.08
CUST_ZJT22H,Loyalty Program,Standard Communication,0.93,0.93,3050.4
CUST_4RESKZ,Loyalty Program,Standard Communication,0.71,0.71,128.02
CUST_7U3ZEK,Email Campaign,Standard Communication,0.04,0.04,7129.69
CUST_S6QIFA,Loyalty Program,Discounts,0.4,0.36800000000000005,711.52
CUST_Z2QK0K,Loyalty Program,Standard Communication,0.15,0.15,9705.66
CUST_11IJ74,Discount,Discounts,0.44,0.4048,2672.93
CUST_ZM1Y63,Loyalty Program,Standard Communication,0.17,0.17,6899.44
CUST_2V0EZT,Discount,Standard Communication,0.18,0.18,2200.37
CUST_1YC4YV,Loyalty Program,Re-engagement Campaign,0.68,0.5984,2397.39
CUST_E2YRB5,Email Campaign,Discounts,0.44,0.4048,825.13
CUST_H4DM4P,Loyalty Program,Re-engagement Campaign,0.2,0.17600000000000002,2432.16
CUST_EGCZS5,Loyalty Program,VIP Treatment,0.98,0.833,6756.35
CUST_P2B7RK,Loyalty Program,Discounts,0.54,0.4968000000000001,2333.31
CUST_2MCHA9,Email Campaign,VIP Treatment,0.77,0.6545,7577.54
CUST_FGBXDV,Email Campaign,Standard Communication,0.29,0.29,4404.1
CUST_U3CUD6,Discount,Standard Communication,0.09,0.09,3839.97
CUST_QCUD86,Discount,Standard Communication,0.17,0.17,7419.49
CUST_VP4IIN,Loyalty Program,Discounts,0.32,0.2944,718.17
CUST_9EBJL3,Loyalty Program,Discounts,0.43,0.3956,8162.55
CUST_TBJH1N,Loyalty Program,Standard Communication,0.82,0.82,2525.29
CUST_0CB73G,Loyalty Program,Re-engagement Campaign,0.82,0.7215999999999999,1716.41
CUST_DCB05J,Email Campaign,VIP Treatment,0.75,0.6375,9071.72
CUST_F2V19Q,Loyalty Program,Discounts,0.32,0.2944,6127.71
CUST_7WS7QT,Discount,Re-engagement Campaign,0.97,0.8536,1280.44
CUST_EYA1WF,Loyalty Program,Standard Communication,0.76,0.76,5618.73
CUST_85N1LQ,Email Campaign,Discounts,0.31,0.2852,9534.92
CUST_HBN26L,Discount,Standard Communication,0.18,0.18,4058.92
CUST_7DL54F,Loyalty Program,Standard Communication,0.9,0.9,3034.81
CUST_UUECOU,Loyalty Program,Standard Communication,0.89,0.89,4237.48
CUST_D3OZEV,Discount,Standard Communication,0.83,0.83,4483.33
CUST_3OW1VU,Discount,Discounts,0.53,0.48760000000000003,4454.13
CUST_W2GG22,Loyalty Program,Re-engagement Campaign,0.77,0.6776,3777.19
CUST_9JYH3O,Discount,Discounts,0.43,0.3956,6853.05
CUST_UJJ5AB,Discount,Discounts,0.5,0.46,3507.66
CUST_HGIUYL,Discount,Discounts,0.46,0.4232,8806.33
CUST_DLK1QI,Email Campaign,Standard Communication,0.28,0.28,8812.2
CUST_P50GJC,Email Campaign,Standard Communication,0.73,0.73,1442.09
CUST_MQVQQP,Loyalty Program,Re-engagement Campaign,0.04,0.0352,5404.37
CUST_G2QS02,Email Campaign,Standard Communication,0.92,0.92,6686.41
CUST_4AARW5,Email Campaign,VIP Treatment,0.93,0.7905,9676.79
CUST_0UZG1E,Discount,Discounts,0.46,0.4232,3557.0
CUST_3AUFK5,Email Campaign,Standard Communication,0.79,0.79,708.91
CUST_YS4VJ7,Loyalty Program,Standard Communication,0.83,0.83,5698.74
CUST_HCJJXE,Email Campaign,Discounts,0.35,0.322,2823.8
CUST_CMZMO3,Email Campaign,Re-engagement Campaign,0.1,0.08800000000000001,341.02
CUST_LMBIH0,Loyalty Program,Standard Communication,0.05,0.05,4436.42
CUST_OO4P5H,Loyalty Program,Discounts,0.51,0.4692,8911.13
CUST_VZTSAO,Email Campaign,Discounts,0.48,0.4416,8016.1
CUST_PLF51R,Discount,Re-engagement Campaign,0.23,0.2024,7852.64
CUST_THMDAK,Discount,Loyalty Programs,0.02,0.018000000000000002,7669.19
CUST_DR9L6G,Email Campaign,Discounts,0.57,0.5244,6823.96
CUST_AXFVPG,Discount,Discounts,0.57,0.5244,8830.76
CUST_ERZKTJ,Email Campaign,Standard Communication,0.06,0.06,5049.85
CUST_C4UFOO,Email Campaign,Discounts,0.32,0.2944,5357.73
CUST_2ONHSS,Loyalty Program,Standard Communication,0.1,0.1,2727.38
CUST_4DG1SV,Email Campaign,Discounts,0.34,0.3128,2122.41
CUST_8RJ2UJ,Discount,Standard Communication,0.23,0.23,4413.42
CUST_X4L864,Loyalty Program,Discounts,0.33,0.30360000000000004,8297.46
CUST_L5137D,Loyalty Program,Standard Communication,0.01,0.01,8897.35
CUST_A8R4U9,Loyalty Program,Re-engagement Campaign,0.19,0.16720000000000002,572.16
CUST_I9LOHF,Email Campaign,Discounts,0.44,0.4048,6682.54
CUST_PNARK0,Loyalty Program,Discounts,0.58,0.5336,338.23
CUST_ETNPOR,Loyalty Program,Standard Communication,0.22,0.22,3587.63
CUST_P3FKPA,Email Campaign,VIP Treatment,0.63,0.5355,8179.76
CUST_4RS6HS,Email Campaign,Discounts,0.55,0.5060000000000001,1477.77
CUST_OAXA2N,Email Campaign,Discounts,0.45,0.41400000000000003,7082.28
CUST_F58QRC,Discount,Standard Communication,0.11,0.11,401.15
CUST_NEROOC,Discount,Standard Communication,0.85,0.85,3665.48
CUST_I32763,Email Campaign,Re-engagement Campaign,0.96,0.8448,4469.42
CUST_A1QNX1,Loyalty Program,Loyalty Programs,0.24,0.216,9957.36
CUST_R73TA0,Email Campaign,Standard Communication,0.92,0.92,6516.17
CUST_CHXLKZ,Email Campaign,Standard Communication,0.74,0.74,3262.85
CUST_Y3G8FH,Discount,Standard Communication,0.27,0.27,7586.53
CUST_7I1KVL,Discount,Discounts,0.45,0.41400000000000003,7811.64
CUST_LG02EX,Discount,VIP Treatment,0.67,0.5695,7183.04
CUST_AD2D3A,Loyalty Program,Standard Communication,0.62,0.62,6009.3
CUST_QHV233,Discount,Standard Communication,0.12,0.12,133.37
CUST_AC60O5,Discount,Re-engagement Campaign,0.7,0.616,5389.24
CUST_SUZMBI,Discount,Standard Communication,0.87,0.87,959.57
CUST_8631Y9,Discount,Discounts,0.47,0.4324,7490.5
CUST_P43D45,Email Campaign,Standard Communication,0.04,0.04,7012.32
CUST_A8D38V,Discount,Re-engagement Campaign,0.84,0.7392,5681.12
CUST_GAIDRM,Discount,Discounts,0.39,0.3588,5458.66
CUST_7IUYYY,Discount,Standard Communication,0.1,0.1,8273.37
CUST_1KN2A8,Email Campaign,Re-engagement Campaign,0.2,0.17600000000000002,2358.32
CUST_GG7RC6,Email Campaign,Standard Communication,0.75,0.75,6400.72
CUST_W3D7AU,Discount,Standard Communication,0.93,0.93,4726.93
CUST_FNGS8H,Email Campaign,Standard Communication,0.2,0.2,1193.75
CUST_3USKKH,Email Campaign,Standard Communication,0.28,0.28,2625.31
CUST_LQSSAP,Discount,Standard Communication,0.82,0.82,2094.74
CUST_UZBGZM,Loyalty Program,Discounts,0.39,0.3588,4211.88
CUST_MENASY,Discount,Standard Communication,0.21,0.21,8885.03
CUST_B9TQ73,Discount,VIP Treatment,0.97,0.8245,8345.59
CUST_HMS7NA,Email Campaign,Re-engagement Campaign,0.89,0.7832,1332.89
CUST_DJ3OOX,Discount,Discounts,0.45,0.41400000000000003,6730.06
CUST_DEPZGJ,Loyalty Program,Standard Communication,0.75,0.75,3960.54
CUST_57JXF3,Email Campaign,Discounts,0.5,0.46,321.6
CUST_S9BHPD,Email Campaign,Standard Communication,0.75,0.75,2832.81
CUST_EMDJBW,Email Campaign,Discounts,0.31,0.2852,1508.51
CUST_WT60W2,Discount,Discounts,0.34,0.3128,3110.45
CUST_P5J7SU,Discount,Standard Communication,0.2,0.2,4916.06
CUST_SJTJX3,Loyalty Program,Discounts,0.4,0.36800000000000005,2814.65
CUST_HOBAHX,Email Campaign,Discounts,0.46,0.4232,731.64
CUST_VV0YS6,Email Campaign,Re-engagement Campaign,0.28,0.24640000000000004,6289.96
CUST_5CZ6NA,Discount,Loyalty Programs,0.25,0.225,6888.52
CUST_EL7O0W,Loyalty Program,Discounts,0.4,0.36800000000000005,2968.83
CUST_EDUCQO,Discount,Standard Communication,0.11,0.11,901.19
CUST_LIEEO1,Loyalty Program,Re-engagement Campaign,0.21,0.1848,4863.83
CUST_YDWNXE,Email Campaign,Discounts,0.59,0.5428,6804.34
CUST_XYICEF,Loyalty Program,Standard Communication,0.03,0.03,1912.83
CUST_2HCWYF,Loyalty Program,Standard Communication,0.95,0.95,4530.07
CUST_PREA2U,Loyalty Program,Discounts,0.4,0.36800000000000005,2353.09
CUST_N6E2GD,Loyalty Program,VIP Treatment,0.91,0.7735,6985.54
CUST_E8OER3,Email Campaign,Re-engagement Campaign,0.61,0.5367999999999999,1768.89
CUST_Y95FNF,Email Campaign,VIP Treatment,0.82,0.697,8780.48
CUST_7XKEIS,Discount,Discounts,0.52,0.47840000000000005,4467.83
CUST_S04624,Email Campaign,Discounts,0.39,0.3588,3355.04
CUST_4HNBXP,Loyalty Program,Discounts,0.54,0.4968000000000001,3997.31
CUST_QP0EZS,Discount,Discounts,0.38,0.3496,3701.14
CUST_U1KVT8,Email Campaign,Discounts,0.56,0.5152000000000001,771.17
CUST_2L0EV4,Discount,Standard Communication,0.8,0.8,3241.05
CUST_MMFK6X,Email Campaign,Standard Communication,0.7,0.7,6677.17
CUST_OV9EGX,Discount,Re-engagement Campaign,0.12,0.1056,3677.22
CUST_4XNH15,Email Campaign,Discounts,0.41,0.3772,6919.27
CUST_HGC6UD,Discount,Standard Communication,0.85,0.85,2407.1
CUST_3LNJ4E,Discount,Standard Communication,0.29,0.29,4211.21
CUST_3LSGSP,Email Campaign,Discounts,0.3,0.276,1863.26
CUST_TW4F0U,Discount,VIP Treatment,0.95,0.8075,7285.95
CUST_R7HYAW,Discount,Discounts,0.31,0.2852,9698.18
CUST_AXATBL,Email Campaign,Standard Communication,0.05,0.05,1393.69
CUST_QJ4418,Loyalty Program,Standard Communication,0.96,0.96,5429.9
CUST_9M2R96,Loyalty Program,Standard Communication,0.68,0.68,1499.18
CUST_1I0MKG,Loyalty Program,Standard Communication,0.65,0.65,4959.66
CUST_KI4WD8,Loyalty Program,Standard Communication,0.03,0.03,9172.82
CUST_JOE853,Email Campaign,Standard Communication,0.04,0.04,2414.51
CUST_RY3QPC,Email Campaign,Standard Communication,0.96,0.96,2613.84
CUST_JCWF3E,Discount,Standard Communication,0.25,0.25,2578.94
CUST_RS16ZL,Loyalty Program,Standard Communication,0.84,0.84,4714.8
CUST_KKT56X,Email Campaign,Standard Communication,0.02,0.02,8283.64
CUST_N9NLPB,Email Campaign,Discounts,0.5,0.46,5259.47
CUST_8EE5OK,Discount,Discounts,0.3,0.276,572.42
CUST_CP9S2B,Discount,VIP Treatment,0.98,0.833,8726.84
CUST_MJGWUH,Discount,Discounts,0.33,0.30360000000000004,3649.71
CUST_IQQ5A0,Loyalty Program,VIP Treatment,0.9,0.765,8234.75
CUST_HQ89PU,Loyalty Program,VIP Treatment,0.65,0.5525,9730.65
CUST_3B9PJ4,Email Campaign,Standard Communication,0.22,0.22,8146.53
CUST_020NQX,Loyalty Program,Standard Communication,0.62,0.62,1722.77
CUST_1UXOIT,Discount,Loyalty Programs,0.23,0.20700000000000002,4584.29
CUST_JYFOYJ,Loyalty Program,Discounts,0.35,0.322,6747.12
CUST_XV2OOT,Email Campaign,Standard Communication,0.23,0.23,465.78
CUST_V3VD8T,Discount,VIP Treatment,0.66,0.561,8486.45
CUST_O3CBJO,Email Campaign,Discounts,0.33,0.30360000000000004,2773.84
CUST_M40O01,Discount,Re-engagement Campaign,0.17,0.1496,2893.12
CUST_GMY9V2,Discount,Discounts,0.34,0.3128,3144.46
CUST_7XRE5C,Discount,Discounts,0.45,0.41400000000000003,3290.38
CUST_XRS1IN,Discount,Standard Communication,0.04,0.04,7322.66
CUST_MOSOGJ,Email Campaign,Standard Communication,0.87,0.87,6259.35
CUST_UETE7J,Discount,Discounts,0.41,0.3772,5718.24
CUST_JF8LX6,Email Campaign,Standard Communication,0.81,0.81,5025.04
CUST_D634AD,Loyalty Program,Standard Communication,0.21,0.21,8997.34
CUST_LOXMXC,Loyalty Program,Standard Communication,0.82,0.82,3197.12
CUST_NZJ8I1,Loyalty Program,Discounts,0.37,0.34040000000000004,6299.3
CUST_WHYCT9,Loyalty Program,Discounts,0.4,0.36800000000000005,2296.44
CUST_DVK54A,Loyalty Program,Discounts,0.45,0.41400000000000003,8655.76
CUST_5LSR7E,Discount,Discounts,0.52,0.47840000000000005,9287.67
CUST_QBQF1P,Loyalty Program,Discounts,0.57,0.5244,1252.42
CUST_KSNIL6,Loyalty Program,VIP Treatment,0.88,0.748,9673.73
CUST_Q0WHAG,Loyalty Program,Loyalty Programs,0.25,0.225,7612.97
CUST_M702RV,Email Campaign,Standard Communication,0.82,0.82,5477.39
CUST_NLEP83,Loyalty Program,Standard Communication,0.88,0.88,4940.81
CUST_WZI1TV,Discount,Discounts,0.39,0.3588,9392.21
CUST_6KA8CY,Discount,Discounts,0.37,0.34040000000000004,7131.06
CUST_BGPHO9,Email Campaign,Standard Communication,0.79,0.79,4701.33
CUST_59NU2J,Discount,VIP Treatment,0.74,0.629,8436.7
CUST_DI8MAW,Loyalty Program,VIP Treatment,0.84,0.714,7318.59
CUST_O7YEPN,Discount,Discounts,0.32,0.2944,8365.17
CUST_I94VDI,Loyalty Program,Standard Communication,0.77,0.77,5814.36
CUST_TQOVPP,Discount,Discounts,0.49,0.45080000000000003,5942.69
CUST_WZOK8D,Email Campaign,Re-engagement Campaign,0.1,0.08800000000000001,2258.49
CUST_87ECSH,Email Campaign,Re-engagement Campaign,0.81,0.7128000000000001,5404.73
CUST_3HUDDU,Email Campaign,VIP Treatment,0.8,0.68,7140.09
CUST_611PJ6,Email Campaign,Standard Communication,0.16,0.16,9191.66
CUST_GJ7SRO,Discount,Loyalty Programs,0.23,0.20700000000000002,9134.77
CUST_CRNS6Q,Email Campaign,Standard Communication,0.76,0.76,6063.69
CUST_19E0I2,Loyalty Program,VIP Treatment,0.7,0.595,9240.41
CUST_Q7XXDF,Email Campaign,Discounts,0.55,0.5060000000000001,8100.12
CUST_F0Q7R4,Email Campaign,Standard Communication,0.66,0.66,2511.81
CUST_4FRN3I,Email Campaign,VIP Treatment,0.87,0.7394999999999999,7780.65
CUST_4XXYLZ,Discount,Standard Communication,0.82,0.82,5987.93
CUST_XDLJZS,Email Campaign,Standard Communication,0.05,0.05,2476.51
CUST_KW7TOP,Discount,Discounts,0.37,0.34040000000000004,2750.89
CUST_7DHUA9,Loyalty Program,Discounts,0.44,0.4048,1369.45
CUST_R77KDO,Email Campaign,Discounts,0.41,0.3772,7433.0
CUST_UXQPHJ,Loyalty Program,Loyalty Programs,0.13,0.117,8200.21
CUST_RWGDH9,Email Campaign,Discounts,0.3,0.276,5901.74
CUST_X00RSD,Discount,Standard Communication,0.85,0.85,4591.27
CUST_I1P12Y,Loyalty Program,Standard Communication,0.75,0.75,2192.65
CUST_2KLMD7,Loyalty Program,Standard Communication,0.98,0.98,5633.69
CUST_ZHROPM,Email Campaign,VIP Treatment,0.6,0.51,8414.19
CUST_JS4VEH,Discount,Standard Communication,0.62,0.62,1681.44
CUST_5N5HSG,Discount,Standard Communication,0.86,0.86,4485.89
CUST_BWP6EV,Loyalty Program,VIP Treatment,0.81,0.6885,7237.4
CUST_F7T57R,Email Campaign,Re-engagement Campaign,0.9,0.792,2379.32
CUST_F7Q3S1,Loyalty Program,Discounts,0.46,0.4232,3631.82
CUST_B7IMLD,Discount,Discounts,0.58,0.5336,5154.98
CUST_CFVQ2Y,Discount,Discounts,0.38,0.3496,5952.68
CUST_6NOQGY,Discount,Loyalty Programs,0.02,0.018000000000000002,2884.3
CUST_R0C1NN,Loyalty Program,Standard Communication,0.22,0.22,4882.68
CUST_K8VU42,Email Campaign,Standard Communication,0.68,0.68,3274.82
CUST_GR0GUR,Email Campaign,Standard Communication,0.99,0.99,5604.93
CUST_DLUH1W,Discount,Standard Communication,0.72,0.72,940.47
CUST_L1CFTB,Loyalty Program,Re-engagement Campaign,0.15,0.132,8994.21
CUST_E3LWZI,Discount,VIP Treatment,0.86,0.731,7124.75
CUST_HTAIZ0,Email Campaign,Loyalty Programs,0.14,0.12600000000000003,2114.05
CUST_TXTNSY,Loyalty Program,Standard Communication,0.1,0.1,4849.82
CUST_62GG70,Loyalty Program,Discounts,0.4,0.36800000000000005,8177.51
CUST_EC5OLS,Email Campaign,Standard Communication,0.04,0.04,639.05
CUST_RMQZO4,Discount,VIP Treatment,0.95,0.8075,6812.99
CUST_GIM0YU,Email Campaign,Standard Communication,1.0,1.0,2893.15
CUST_KH0YA2,Email Campaign,Standard Communication,0.86,0.86,1692.23
CUST_IW23JV,Loyalty Program,Standard Communication,0.03,0.03,9664.27
CUST_SPBM6W,Loyalty Program,Standard Communication,0.95,0.95,5851.7
CUST_04IZH6,Discount,Standard Communication,0.98,0.98,3170.87
CUST_MPE2P1,Loyalty Program,Re-engagement Campaign,0.26,0.2288,4562.86
CUST_I4IC0U,Email Campaign,Standard Communication,0.63,0.63,1667.94
CUST_FI8N1E,Loyalty Program,Standard Communication,0.73,0.73,2513.29
CUST_9OV5SJ,Discount,Discounts,0.5,0.46,4520.77
CUST_J772ZQ,Loyalty Program,Standard Communication,0.02,0.02,2166.0
CUST_GTQ6QF,Loyalty Program,Loyalty Programs,0.03,0.027,4807.7
CUST_2ABKP8,Discount,Discounts,0.42,0.3864,2692.16
CUST_8Q1EN3,Loyalty Program,Standard Communication,0.13,0.13,1339.93
CUST_RAYM3R,Discount,Re-engagement Campaign,0.24,0.2112,452.33
CUST_OU32PM,Discount,Standard Communication,0.62,0.62,2765.53
CUST_ETLE29,Loyalty Program,Standard Communication,0.74,0.74,267.14
CUST_3UDPXA,Email Campaign,Standard Communication,0.69,0.69,1364.86
CUST_MVKW70,Discount,Loyalty Programs,0.03,0.027,3369.33
CUST_L0V34A,Loyalty Program,VIP Treatment,0.73,0.6204999999999999,9255.8
CUST_QYY8NB,Loyalty Program,Discounts,0.37,0.34040000000000004,2121.59
CUST_VVEFPN,Discount,Standard Communication,0.71,0.71,2173.35
CUST_08I8F5,Email Campaign,Standard Communication,0.28,0.28,2019.86
CUST_RD6I98,Discount,Standard Communication,0.12,0.12,1001.26
CUST_86PYLF,Email Campaign,Standard Communication,0.1,0.1,8322.78
CUST_HQ8BJ6,Discount,Standard Communication,0.9,0.9,6549.0
CUST_ZOHGIM,Discount,Discounts,0.53,0.48760000000000003,9092.45
CUST_X2M2OU,Email Campaign,VIP Treatment,0.89,0.7565,6913.93
CUST_A76UD3,Loyalty Program,Discounts,0.53,0.48760000000000003,6779.4
CUST_N5KOJL,Discount,Discounts,0.49,0.45080000000000003,7020.21
CUST_NYIL4U,Email Campaign,VIP Treatment,0.7,0.595,6890.24
CUST_PJ39E8,Loyalty Program,Standard Communication,0.77,0.77,6232.09
CUST_FIWD0L,Email Campaign,Standard Communication,0.76,0.76,1441.46
CUST_SJ7SV0,Discount,Standard Communication,0.13,0.13,2476.27
CUST_EMZ11T,Loyalty Program,Standard Communication,0.09,0.09,7408.73
CUST_439POZ,Discount,Discounts,0.59,0.5428,6902.16
CUST_ML0LTK,Discount,Discounts,0.36,0.3312,713.94
CUST_4CYVQ8,Discount,Discounts,0.36,0.3312,7279.27
CUST_E8LUMX,Email Campaign,Standard Communication,0.97,0.97,1777.81
CUST_EVURL6,Discount,VIP Treatment,0.75,0.6375,6896.55
CUST_G3W9U2,Loyalty Program,Discounts,0.41,0.3772,5422.25
