Customer_ID,Region,Retention_Strategy,Recommended_Strategy,Risk_Level,LTV_Segment,Action_Priority,Churn_Probability,Projected_Churn,Lifetime_Value,Purchase_Frequency,Average_Order_Value,Engagement_Score,Most_Frequent_Category,Time_Between_Purchases
CUST_FJPJ16,Asia,Discount,Loyalty Programs,Low Risk,Medium Value,Maintain,0.08,0.07200000000000001,3889.56,13,65.97,0.719,Clothing,22
CUST_4LYGW1,North America,Loyalty Program,Standard Communication,Low Risk,Medium Value,Monitor,0.15,0.15,6286.12,10,44.92,0.364,Electronics,71
CUST_SASUTZ,Europe,Email Campaign,Standard Communication,Low Risk,Low Value,Maintain,0.25,0.25,2173.1,13,175.81,0.505,Clothing,60
CUST_1F6ITR,North America,Loyalty Program,Re-engagement Campaign,High Risk,Low Value,Monitor,0.94,0.8271999999999999,182.6,4,48.07,0.19,Home,74
CUST_A8JHLW,Asia,Loyalty Program,Standard Communication,Low Risk,High Value,High Priority,0.28,0.28,7565.07,8,82.69,0.334,Clothing,67
CUST_W8IZWM,North America,Loyalty Program,Discounts,Medium Risk,High Value,Immediate Action,0.53,0.48760000000000003,9792.55,1,156.04,0.274,Electronics,45
CUST_6P1OQQ,Asia,Loyalty Program,Discounts,Medium Risk,Low Value,Monitor,0.43,0.3956,2945.99,8,46.0,0.267,Clothing,79
CUST_A6XFY9,South America,Discount,Re-engagement Campaign,Low Risk,Medium Value,Monitor,0.22,0.1936,5576.28,1,186.54,0.122,Sports,72
CUST_MW3LV2,Asia,Email Campaign,Discounts,Medium Risk,Low Value,Maintain,0.37,0.34040000000000004,726.95,14,157.37,0.666,Sports,36
CUST_A9PHFE,Asia,Email Campaign,Standard Communication,High Risk,Low Value,High Priority,0.76,0.76,3128.79,16,175.7,0.466,Clothing,81
CUST_HOB0YK,Europe,Loyalty Program,VIP Treatment,High Risk,High Value,Immediate Action,0.74,0.629,8802.47,10,138.67,0.527,Sports,42
CUST_BRRRRU,North America,Loyalty Program,Re-engagement Campaign,Low Risk,Low Value,Maintain,0.24,0.2112,843.02,3,172.19,0.292,Electronics,51
CUST_DA0I76,Asia,Loyalty Program,Standard Communication,Low Risk,High Value,High Priority,0.25,0.25,7759.72,8,30.95,0.373,Home,60
CUST_7GAVM9,North America,Loyalty Program,Standard Communication,Low Risk,Medium Value,Maintain,0.04,0.04,3421.3,11,69.05,0.374,Home,74
CUST_Z6QSTD,North America,Loyalty Program,Re-engagement Campaign,Low Risk,Low Value,Maintain,0.23,0.2024,2682.46,5,32.18,0.289,Sports,61
CUST_HXOYK8,South America,Email Campaign,Standard Communication,Low Risk,Medium Value,Maintain,0.08,0.08,3408.85,7,35.98,0.651,Home,6
CUST_VLBL5K,South America,Loyalty Program,Discounts,Medium Risk,Medium Value,Monitor,0.39,0.3588,6008.65,10,97.5,0.409,Sports,63
CUST_5T9TN8,Europe,Discount,Standard Communication,High Risk,Medium Value,High Priority,0.86,0.86,4170.5,1,120.55,0.386,Electronics,25
CUST_2WBGJJ,South America,Discount,Loyalty Programs,Low Risk,Low Value,Maintain,0.12,0.108,666.12,19,103.19,0.702,Clothing,53
CUST_I40LLF,North America,Discount,Discounts,Medium Risk,Low Value,Monitor,0.49,0.45080000000000003,1517.8,11,61.74,0.655,Clothing,24
CUST_7USGEB,South America,Email Campaign,Standard Communication,Low Risk,Low Value,Maintain,0.1,0.1,977.86,10,128.51,0.656,Clothing,19
CUST_ZYJ13O,South America,Discount,VIP Treatment,High Risk,High Value,Immediate Action,0.86,0.731,7231.13,8,72.7,0.244,Home,83
CUST_ZIMOOB,South America,Loyalty Program,Standard Communication,Low Risk,Low Value,Maintain,0.24,0.24,1666.64,13,199.76,0.505,Home,60
CUST_BQQQVX,Asia,Loyalty Program,Discounts,Medium Risk,Low Value,Maintain,0.38,0.3496,567.28,2,122.65,0.244,Clothing,55
CUST_52EO2K,Europe,Discount,Standard Communication,Low Risk,High Value,High Priority,0.12,0.12,9238.72,17,91.92,0.52,Sports,76
CUST_0H7Z3X,South America,Discount,Standard Communication,Low Risk,High Value,High Priority,0.13,0.13,8896.81,8,180.68,0.368,Electronics,61
CUST_QAXZQT,North America,Discount,Discounts,Medium Risk,High Value,High Priority,0.51,0.4692,6765.08,6,39.65,0.596,Electronics,11
CUST_ZJT22H,North America,Loyalty Program,Standard Communication,High Risk,Low Value,High Priority,0.93,0.93,3050.4,13,79.7,0.696,Clothing,26
CUST_4RESKZ,Europe,Loyalty Program,Standard Communication,High Risk,Low Value,Monitor,0.71,0.71,128.02,6,128.88,0.557,Sports,18
CUST_7U3ZEK,Europe,Email Campaign,Standard Communication,Low Risk,High Value,Monitor,0.04,0.04,7129.69,9,99.62,0.332,Electronics,72
CUST_S6QIFA,Europe,Loyalty Program,Discounts,Medium Risk,Low Value,Maintain,0.4,0.36800000000000005,711.52,13,128.57,0.483,Sports,64
CUST_Z2QK0K,North America,Loyalty Program,Standard Communication,Low Risk,High Value,High Priority,0.15,0.15,9705.66,3,73.03,0.416,Electronics,29
CUST_11IJ74,Europe,Discount,Discounts,Medium Risk,Low Value,Monitor,0.44,0.4048,2672.93,11,101.47,0.537,Electronics,45
CUST_ZM1Y63,North America,Loyalty Program,Standard Communication,Low Risk,High Value,Monitor,0.17,0.17,6899.44,16,162.83,0.64,Home,50
CUST_2V0EZT,North America,Discount,Standard Communication,Low Risk,Low Value,Maintain,0.18,0.18,2200.37,11,117.22,0.643,Electronics,26
CUST_1YC4YV,Asia,Loyalty Program,Re-engagement Campaign,High Risk,Low Value,Monitor,0.68,0.5984,2397.39,3,79.85,0.264,Home,56
CUST_E2YRB5,South America,Email Campaign,Discounts,Medium Risk,Low Value,Monitor,0.44,0.4048,825.13,12,191.24,0.529,Clothing,51
CUST_H4DM4P,North America,Loyalty Program,Re-engagement Campaign,Low Risk,Low Value,Maintain,0.2,0.17600000000000002,2432.16,5,189.2,0.16,Clothing,84
CUST_EGCZS5,Europe,Loyalty Program,VIP Treatment,High Risk,High Value,Immediate Action,0.98,0.833,6756.35,3,83.92,0.399,Electronics,32
CUST_P2B7RK,Europe,Loyalty Program,Discounts,Medium Risk,Low Value,Monitor,0.54,0.4968000000000001,2333.31,6,125.79,0.506,Home,27
CUST_2MCHA9,Asia,Email Campaign,VIP Treatment,High Risk,High Value,Immediate Action,0.77,0.6545,7577.54,19,62.65,0.764,Sports,42
CUST_FGBXDV,South America,Email Campaign,Standard Communication,Low Risk,Medium Value,Monitor,0.29,0.29,4404.1,4,45.21,0.504,Electronics,18
CUST_U3CUD6,Europe,Discount,Standard Communication,Low Risk,Medium Value,Maintain,0.09,0.09,3839.97,5,68.41,0.514,Sports,21
CUST_QCUD86,Europe,Discount,Standard Communication,Low Risk,High Value,Monitor,0.17,0.17,7419.49,8,63.84,0.548,Electronics,29
CUST_VP4IIN,North America,Loyalty Program,Discounts,Medium Risk,Low Value,Maintain,0.32,0.2944,718.17,4,194.85,0.302,Sports,54
CUST_9EBJL3,Europe,Loyalty Program,Discounts,Medium Risk,High Value,High Priority,0.43,0.3956,8162.55,12,151.04,0.602,Sports,38
CUST_TBJH1N,South America,Loyalty Program,Standard Communication,High Risk,Low Value,High Priority,0.82,0.82,2525.29,1,123.76,0.363,Electronics,29
CUST_0CB73G,North America,Loyalty Program,Re-engagement Campaign,High Risk,Low Value,Monitor,0.82,0.7215999999999999,1716.41,7,188.85,0.263,Home,75
CUST_DCB05J,Asia,Email Campaign,VIP Treatment,High Risk,High Value,Immediate Action,0.75,0.6375,9071.72,13,26.16,0.713,Electronics,23
CUST_F2V19Q,North America,Loyalty Program,Discounts,Medium Risk,Medium Value,Monitor,0.32,0.2944,6127.71,2,59.18,0.356,Electronics,35
CUST_7WS7QT,Europe,Discount,Re-engagement Campaign,High Risk,Low Value,High Priority,0.97,0.8536,1280.44,6,63.15,0.231,Electronics,76
CUST_EYA1WF,Europe,Loyalty Program,Standard Communication,High Risk,Medium Value,High Priority,0.76,0.76,5618.73,11,103.72,0.565,Home,40
CUST_85N1LQ,North America,Email Campaign,Discounts,Medium Risk,High Value,High Priority,0.31,0.2852,9534.92,13,49.79,0.702,Clothing,25
CUST_HBN26L,South America,Discount,Standard Communication,Low Risk,Medium Value,Monitor,0.18,0.18,4058.92,16,137.38,0.674,Sports,44
CUST_7DL54F,Europe,Loyalty Program,Standard Communication,High Risk,Low Value,High Priority,0.9,0.9,3034.81,13,32.26,0.556,Electronics,51
CUST_UUECOU,North America,Loyalty Program,Standard Communication,High Risk,Medium Value,High Priority,0.89,0.89,4237.48,16,150.47,0.635,Home,51
CUST_D3OZEV,South America,Discount,Standard Communication,High Risk,Medium Value,High Priority,0.83,0.83,4483.33,19,88.07,0.584,Home,74
CUST_3OW1VU,South America,Discount,Discounts,Medium Risk,Medium Value,Monitor,0.53,0.48760000000000003,4454.13,10,91.25,0.347,Electronics,74
CUST_W2GG22,South America,Loyalty Program,Re-engagement Campaign,High Risk,Medium Value,High Priority,0.77,0.6776,3777.19,2,156.92,0.143,Electronics,73
CUST_9JYH3O,Asia,Discount,Discounts,Medium Risk,High Value,High Priority,0.43,0.3956,6853.05,2,22.38,0.244,Sports,55
CUST_UJJ5AB,Asia,Discount,Discounts,Medium Risk,Medium Value,Monitor,0.5,0.46,3507.66,5,28.7,0.418,Home,38
CUST_HGIUYL,Europe,Discount,Discounts,Medium Risk,High Value,High Priority,0.46,0.4232,8806.33,18,80.6,0.8,Home,31
CUST_DLK1QI,South America,Email Campaign,Standard Communication,Low Risk,High Value,High Priority,0.28,0.28,8812.2,8,137.58,0.418,Electronics,52
CUST_P50GJC,North America,Email Campaign,Standard Communication,High Risk,Low Value,Monitor,0.73,0.73,1442.09,12,117.9,0.496,Clothing,57
CUST_MQVQQP,Asia,Loyalty Program,Re-engagement Campaign,Low Risk,Medium Value,Monitor,0.04,0.0352,5404.37,8,189.13,0.222,Clothing,87
CUST_G2QS02,South America,Email Campaign,Standard Communication,High Risk,Medium Value,Immediate Action,0.92,0.92,6686.41,1,90.67,0.481,Electronics,8
CUST_4AARW5,Europe,Email Campaign,VIP Treatment,High Risk,High Value,Immediate Action,0.93,0.7905,9676.79,10,159.94,0.342,Clothing,75
CUST_0UZG1E,Asia,Discount,Discounts,Medium Risk,Medium Value,Monitor,0.46,0.4232,3557.0,13,53.38,0.612,Electronics,41
CUST_3AUFK5,Asia,Email Campaign,Standard Communication,High Risk,Low Value,Monitor,0.79,0.79,708.91,7,132.58,0.358,Electronics,58
CUST_YS4VJ7,South America,Loyalty Program,Standard Communication,High Risk,Medium Value,High Priority,0.83,0.83,5698.74,12,62.46,0.782,Sports,6
CUST_HCJJXE,Europe,Email Campaign,Discounts,Medium Risk,Low Value,Monitor,0.35,0.322,2823.8,3,119.26,0.478,Electronics,18
CUST_CMZMO3,Europe,Email Campaign,Re-engagement Campaign,Low Risk,Low Value,Maintain,0.1,0.08800000000000001,341.02,2,133.08,0.053,Clothing,89
CUST_LMBIH0,South America,Loyalty Program,Standard Communication,Low Risk,Medium Value,Maintain,0.05,0.05,4436.42,13,162.93,0.696,Electronics,26
CUST_OO4P5H,Asia,Loyalty Program,Discounts,Medium Risk,High Value,High Priority,0.51,0.4692,8911.13,8,102.77,0.469,Clothing,43
CUST_VZTSAO,Asia,Email Campaign,Discounts,Medium Risk,High Value,High Priority,0.48,0.4416,8016.1,1,57.7,0.24,Electronics,51
CUST_PLF51R,Europe,Discount,Re-engagement Campaign,Low Risk,High Value,High Priority,0.23,0.2024,7852.64,2,105.71,0.103,Clothing,80
CUST_THMDAK,Europe,Discount,Loyalty Programs,Low Risk,High Value,Monitor,0.02,0.018000000000000002,7669.19,12,194.26,0.765,Clothing,9
CUST_DR9L6G,Europe,Email Campaign,Discounts,Medium Risk,High Value,High Priority,0.57,0.5244,6823.96,8,92.65,0.385,Electronics,58
CUST_AXFVPG,Europe,Discount,Discounts,Medium Risk,High Value,High Priority,0.57,0.5244,8830.76,4,187.29,0.431,Home,31
CUST_ERZKTJ,Asia,Email Campaign,Standard Communication,Low Risk,Medium Value,Monitor,0.06,0.06,5049.85,8,68.7,0.576,Home,24
CUST_C4UFOO,Asia,Email Campaign,Discounts,Medium Risk,Medium Value,Monitor,0.32,0.2944,5357.73,16,87.85,0.691,Electronics,41
CUST_2ONHSS,Asia,Loyalty Program,Standard Communication,Low Risk,Low Value,Maintain,0.1,0.1,2727.38,12,40.7,0.496,Home,57
CUST_4DG1SV,Asia,Email Campaign,Discounts,Medium Risk,Low Value,Monitor,0.34,0.3128,2122.41,13,86.01,0.78,Electronics,11
CUST_8RJ2UJ,South America,Discount,Standard Communication,Low Risk,Medium Value,Monitor,0.23,0.23,4413.42,6,46.6,0.416,Sports,43
CUST_X4L864,South America,Loyalty Program,Discounts,Medium Risk,High Value,High Priority,0.33,0.30360000000000004,8297.46,11,37.97,0.756,Sports,6
CUST_L5137D,Europe,Loyalty Program,Standard Communication,Low Risk,High Value,Monitor,0.01,0.01,8897.35,14,117.1,0.441,Sports,76
CUST_A8R4U9,Asia,Loyalty Program,Re-engagement Campaign,Low Risk,Low Value,Maintain,0.19,0.16720000000000002,572.16,6,167.11,0.287,Home,66
CUST_I9LOHF,Asia,Email Campaign,Discounts,Medium Risk,Medium Value,High Priority,0.44,0.4048,6682.54,10,41.52,0.376,Sports,69
CUST_PNARK0,South America,Loyalty Program,Discounts,Medium Risk,Low Value,Monitor,0.58,0.5336,338.23,18,57.27,0.884,Electronics,16
CUST_ETNPOR,Asia,Loyalty Program,Standard Communication,Low Risk,Medium Value,Monitor,0.22,0.22,3587.63,8,90.22,0.615,Home,17
CUST_P3FKPA,Europe,Email Campaign,VIP Treatment,High Risk,High Value,High Priority,0.63,0.5355,8179.76,16,27.88,0.803,Electronics,21
CUST_4RS6HS,Europe,Email Campaign,Discounts,Medium Risk,Low Value,Monitor,0.55,0.5060000000000001,1477.77,9,52.03,0.596,Electronics,25
CUST_OAXA2N,North America,Email Campaign,Discounts,Medium Risk,High Value,High Priority,0.45,0.41400000000000003,7082.28,8,172.88,0.362,Electronics,62
CUST_F58QRC,Asia,Discount,Standard Communication,Low Risk,Low Value,Maintain,0.11,0.11,401.15,3,21.0,0.54,Sports,7
CUST_NEROOC,North America,Discount,Standard Communication,High Risk,Medium Value,High Priority,0.85,0.85,3665.48,2,93.22,0.452,Electronics,18
CUST_I32763,Europe,Email Campaign,Re-engagement Campaign,High Risk,Medium Value,High Priority,0.96,0.8448,4469.42,5,62.98,0.148,Electronics,86
CUST_A1QNX1,Europe,Loyalty Program,Loyalty Programs,Low Risk,High Value,High Priority,0.24,0.216,9957.36,15,71.55,0.715,Sports,32
CUST_R73TA0,Asia,Email Campaign,Standard Communication,High Risk,Medium Value,Immediate Action,0.92,0.92,6516.17,14,116.74,0.728,Sports,25
CUST_CHXLKZ,North America,Email Campaign,Standard Communication,High Risk,Low Value,High Priority,0.74,0.74,3262.85,13,80.91,0.348,Clothing,88
CUST_Y3G8FH,Europe,Discount,Standard Communication,Low Risk,High Value,High Priority,0.27,0.27,7586.53,8,159.94,0.553,Sports,28
CUST_7I1KVL,South America,Discount,Discounts,Medium Risk,High Value,High Priority,0.45,0.41400000000000003,7811.64,13,186.9,0.786,Home,10
CUST_LG02EX,South America,Discount,VIP Treatment,High Risk,High Value,High Priority,0.67,0.5695,7183.04,9,191.5,0.535,Sports,36
CUST_AD2D3A,South America,Loyalty Program,Standard Communication,High Risk,Medium Value,High Priority,0.62,0.62,6009.3,6,81.76,0.59,Home,12
CUST_QHV233,North America,Discount,Standard Communication,Low Risk,Low Value,Maintain,0.12,0.12,133.37,18,186.58,0.592,Electronics,68
CUST_AC60O5,South America,Discount,Re-engagement Campaign,High Risk,Medium Value,High Priority,0.7,0.616,5389.24,4,90.36,0.133,Clothing,84
