Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy,Risk_Level,LTV_Segment,Engagement_Score,Strategy_Success,Recommended_Strategy,Current_Expected_Churn,Projected_Churn,Priority_Score,Action_Priority
CUST_5C973R,PROD_DNB9HU,TRANS_4IYIU0,7,165.36,Home,12,Asia,0.76,2028.94,2022-09-30,2023-09-24,Winter,Evening,Discount,High Risk,Low Value,0.617,0,Standard Communication,0.76,0.76,48.14494347864349,Monitor
CUST_G8HU0Y,PROD_67CKAZ,TRANS_21LPF7,13,169.44,Electronics,31,South America,0.36,4558.4,2022-11-01,2023-01-29,Spring,Evening,Loyalty Program,Medium Risk,Medium Value,0.668,1,Discounts,0.36,0.3312,40.7925470211285,Monitor
CUST_2KHJ4Y,PROD_0VHFS7,TRANS_9AIGGW,1,138.29,Electronics,66,Asia,0.27,2053.08,2020-09-30,2023-05-18,Summer,Afternoon,Email Campaign,Low Risk,Low Value,0.156,1,Re-engagement Campaign,0.27,0.2376,23.76564637551301,Maintain
CUST_OL6Z6A,PROD_SMVS94,TRANS_7Y5D04,12,101.33,Sports,87,North America,0.95,3860.4,2022-06-09,2023-04-14,Summer,Afternoon,Discount,High Risk,Medium Value,0.327,0,Standard Communication,0.95,0.95,66.80246325911821,High Priority
CUST_80XT8K,PROD_85FXS1,TRANS_CF2UIG,2,51.68,Clothing,37,South America,0.27,7406.47,2022-03-26,2023-03-14,Winter,Evening,Discount,Low Risk,High Value,0.345,1,Standard Communication,0.27,0.27,50.533238797731144,High Priority
CUST_MSNQX0,PROD_SFPDI5,TRANS_I69T9V,14,48.23,Home,69,South America,0.46,933.63,2020-12-12,2023-01-22,Winter,Evening,Email Campaign,Medium Risk,Low Value,0.481,0,Discounts,0.46,0.4232,27.66826203828892,Monitor
CUST_4XM4T8,PROD_AYJHII,TRANS_QODMWY,19,58.92,Sports,50,South America,0.97,6527.21,2021-03-24,2023-11-07,Fall,Evening,Discount,High Risk,Medium Value,0.719,0,Standard Communication,0.97,0.97,81.13683328399881,Immediate Action
CUST_NMIM67,PROD_QRJOQQ,TRANS_X1J6WF,5,37.72,Sports,79,Asia,0.16,9937.12,2022-08-14,2023-10-12,Winter,Afternoon,Loyalty Program,Low Risk,High Value,0.188,1,Re-engagement Campaign,0.16,0.1408,57.686792483019595,High Priority
CUST_G3CBW1,PROD_4XTTVE,TRANS_XROLFW,2,61.25,Electronics,10,North America,0.98,3585.45,2021-03-01,2023-08-25,Fall,Afternoon,Email Campaign,High Risk,Medium Value,0.496,0,Standard Communication,0.98,0.98,66.92768026432634,High Priority
CUST_LMWRL7,PROD_JSTXXZ,TRANS_6QAZQ4,9,46.48,Clothing,39,North America,0.59,6308.82,2021-11-09,2023-11-24,Fall,Evening,Discount,Medium Risk,Medium Value,0.518,0,Discounts,0.59,0.5428,61.04485707656984,High Priority
CUST_BP1CZW,PROD_38AOV5,TRANS_YH9TT9,19,23.99,Sports,17,South America,0.93,4860.19,2020-08-23,2023-05-22,Summer,Afternoon,Discount,High Risk,Medium Value,0.904,0,Standard Communication,0.93,0.93,70.80153323679768,High Priority
CUST_V6TG3I,PROD_IS1C0S,TRANS_XHU7MO,4,182.98,Clothing,59,Europe,0.94,4384.96,2020-11-10,2023-01-02,Fall,Evening,Email Campaign,High Risk,Medium Value,0.274,0,Re-engagement Campaign,0.94,0.8271999999999999,68.92532620782899,High Priority
CUST_PBDQSR,PROD_0SQDEQ,TRANS_21805X,5,99.78,Home,52,North America,0.44,3917.09,2020-10-29,2023-06-18,Winter,Evening,Email Campaign,Medium Risk,Medium Value,0.339,0,Discounts,0.44,0.4048,41.58592006208149,Monitor
CUST_4D8TQ7,PROD_9Y47SE,TRANS_URXRPO,2,144.04,Electronics,78,Europe,0.11,6457.94,2021-03-20,2023-01-28,Summer,Evening,Email Campaign,Low Risk,Medium Value,0.114,1,Re-engagement Campaign,0.11,0.0968,37.79047497139931,Monitor
CUST_PE88A7,PROD_IGQ04T,TRANS_4GHR21,16,147.99,Home,28,Asia,0.54,9793.48,2022-04-10,2023-01-15,Fall,Afternoon,Email Campaign,Medium Risk,High Value,0.764,0,Discounts,0.54,0.4968000000000001,75.9685752458059,Immediate Action
CUST_FQDNFA,PROD_RA21TR,TRANS_XZ3ATJ,6,43.79,Electronics,48,North America,0.78,2071.72,2021-07-08,2023-09-07,Winter,Afternoon,Loyalty Program,High Risk,Low Value,0.388,0,Standard Communication,0.78,0.78,49.3588486123667,Monitor
CUST_5LNW0H,PROD_KK674F,TRANS_6Z1WNL,9,140.74,Electronics,33,Europe,0.97,4032.5,2020-12-07,2023-09-11,Summer,Afternoon,Email Campaign,High Risk,Medium Value,0.551,0,Standard Communication,0.97,0.97,68.66298391161388,High Priority
CUST_5YEMJD,PROD_BQZPQW,TRANS_QFA4GW,10,168.79,Sports,71,Asia,0.6,4170.08,2022-03-29,2023-07-20,Summer,Evening,Loyalty Program,High Risk,Medium Value,0.364,0,Standard Communication,0.6,0.6,50.85090042161012,High Priority
CUST_QU7QVL,PROD_LMZ8FO,TRANS_RKYSMN,4,180.07,Clothing,38,Europe,0.28,5093.39,2021-07-13,2023-10-05,Spring,Afternoon,Discount,Low Risk,Medium Value,0.392,1,Standard Communication,0.28,0.28,39.46756122146932,Monitor
CUST_29DO3Z,PROD_G9QAZF,TRANS_RRYEW5,3,151.9,Home,33,Europe,0.24,1686.06,2022-08-08,2023-10-15,Winter,Afternoon,Discount,Low Risk,Low Value,0.394,1,Standard Communication,0.24,0.24,20.43050233205597,Maintain
CUST_L6Y0LJ,PROD_QSBLCY,TRANS_5LGI9O,13,54.2,Clothing,69,North America,0.26,8156.23,2022-07-20,2023-10-03,Summer,Evening,Email Campaign,Low Risk,High Value,0.454,1,Standard Communication,0.26,0.26,53.782128771090505,High Priority
CUST_3CJ2R1,PROD_NV7ANP,TRANS_Z85T6R,4,70.04,Sports,33,Asia,0.18,4456.32,2022-02-04,2023-07-25,Fall,Afternoon,Loyalty Program,Low Risk,Medium Value,0.42,1,Standard Communication,0.18,0.18,31.282134771234507,Monitor
CUST_TWR7Q9,PROD_MKX3U2,TRANS_XWNAU4,11,79.79,Electronics,24,South America,0.92,3278.04,2021-04-26,2023-11-07,Spring,Morning,Loyalty Program,High Risk,Low Value,0.655,0,Standard Communication,0.92,0.92,62.39059337424098,High Priority
CUST_BT8F7N,PROD_VP1C85,TRANS_BN4GLI,7,141.62,Home,34,Asia,0.24,8513.1,2021-08-27,2023-06-16,Summer,Evening,Discount,Low Risk,High Value,0.493,1,Standard Communication,0.24,0.24,54.56652159651832,High Priority
CUST_44WU3H,PROD_DLW1HT,TRANS_OZSTC6,17,25.67,Electronics,25,North America,0.99,9777.23,2021-03-01,2023-06-03,Summer,Morning,Email Campaign,High Risk,High Value,0.807,0,VIP Treatment,0.99,0.8415,98.3873232957591,Immediate Action
CUST_9CCEOL,PROD_V7YPR0,TRANS_3C9IZ7,8,121.15,Home,73,North America,0.04,7429.9,2021-12-01,2023-01-18,Fall,Evening,Loyalty Program,Low Risk,High Value,0.3,1,Standard Communication,0.04,0.04,39.150391609398625,Monitor
CUST_5CMJNC,PROD_REQDDN,TRANS_E7YDDY,5,159.29,Clothing,23,North America,1.0,9884.14,2020-03-12,2023-01-31,Winter,Morning,Loyalty Program,High Risk,High Value,0.502,0,VIP Treatment,1.0,0.85,99.42188612526701,Immediate Action
CUST_RIOS1B,PROD_7M7FN6,TRANS_P8HBGJ,7,143.17,Electronics,71,North America,0.75,9939.87,2021-09-29,2023-10-04,Spring,Evening,Discount,High Risk,High Value,0.285,0,VIP Treatment,0.75,0.6375,87.20054281302751,Immediate Action
CUST_UHM0W0,PROD_I8BK7H,TRANS_DRQVRX,18,112.91,Sports,10,South America,0.3,481.09,2020-03-12,2023-10-28,Winter,Afternoon,Loyalty Program,Medium Risk,Low Value,0.918,1,Discounts,0.3,0.276,17.405507732185573,Maintain
CUST_XYCV8A,PROD_GEO4BY,TRANS_OHOMTE,2,87.07,Sports,61,Europe,0.25,4389.88,2020-01-16,2023-03-16,Winter,Afternoon,Loyalty Program,Low Risk,Medium Value,0.21,1,Re-engagement Campaign,0.25,0.22,34.449926798243155,Monitor
CUST_1XBJ9U,PROD_ZDFDHP,TRANS_7QZT0M,16,90.59,Electronics,6,South America,0.45,6536.15,2022-08-10,2023-04-13,Spring,Morning,Email Campaign,Medium Risk,Medium Value,0.887,0,Discounts,0.45,0.41400000000000003,55.18153435682456,High Priority
CUST_SG4B8W,PROD_HGV6XV,TRANS_KR47ZL,16,155.46,Electronics,71,Asia,0.28,514.55,2022-03-10,2023-09-23,Fall,Afternoon,Loyalty Program,Low Risk,Low Value,0.522,1,Standard Communication,0.28,0.28,16.572811747481943,Maintain
CUST_YNB5QL,PROD_QKQZCD,TRANS_GNTBSC,1,29.43,Clothing,72,North America,0.37,6446.33,2022-08-28,2023-09-11,Fall,Afternoon,Loyalty Program,Medium Risk,Medium Value,0.122,1,Discounts,0.37,0.34040000000000004,50.73242357816588,High Priority
CUST_UL763Z,PROD_APLSZ5,TRANS_J4I69W,11,187.02,Home,47,North America,0.36,3209.14,2020-12-20,2023-08-17,Winter,Morning,Discount,Medium Risk,Low Value,0.525,1,Discounts,0.36,0.3312,34.04608510604254,Monitor
CUST_PLP8HF,PROD_06OMWE,TRANS_V5XD0N,8,193.61,Clothing,31,North America,0.09,4250.12,2022-05-29,2023-08-19,Summer,Evening,Discount,Low Risk,Medium Value,0.536,1,Standard Communication,0.09,0.09,25.75111002664064,Monitor
CUST_RB6RRC,PROD_FZPBJ0,TRANS_SUV302,1,165.46,Clothing,75,North America,0.49,3399.96,2021-03-30,2023-01-08,Summer,Morning,Discount,Medium Risk,Medium Value,0.105,0,Discounts,0.49,0.45080000000000003,41.50020800499212,Monitor
CUST_E8RVBQ,PROD_Q33F7S,TRANS_KWSVZ1,5,141.7,Clothing,27,North America,0.54,4979.03,2022-08-02,2023-11-06,Winter,Evening,Email Campaign,Medium Risk,Medium Value,0.48,0,Discounts,0.54,0.4968000000000001,51.89574749793995,High Priority
CUST_BY0GMM,PROD_W0BL0N,TRANS_ZHY8NX,9,76.18,Clothing,88,Asia,0.92,6700.23,2021-09-08,2023-08-07,Summer,Evening,Email Campaign,High Risk,High Value,0.242,0,VIP Treatment,0.92,0.782,79.50195404689711,Immediate Action
CUST_A2HM1J,PROD_LPYYDT,TRANS_YRXSEE,11,105.41,Clothing,19,Europe,0.35,8484.97,2021-02-21,2023-10-07,Fall,Morning,Discount,Medium Risk,High Value,0.683,1,Discounts,0.35,0.322,59.9258682208373,High Priority
CUST_8G18L2,PROD_AYH2IY,TRANS_OO6E0E,12,195.98,Clothing,70,North America,0.94,2131.19,2020-01-23,2023-05-16,Spring,Afternoon,Discount,High Risk,Low Value,0.423,0,Standard Communication,0.94,0.94,57.65620574893798,High Priority
CUST_G141RX,PROD_57UL5X,TRANS_RL8R7X,13,40.69,Electronics,19,Asia,0.82,5732.6,2022-04-13,2023-02-26,Summer,Afternoon,Email Campaign,High Risk,Medium Value,0.735,0,Standard Communication,0.82,0.82,69.66368792851029,High Priority
CUST_VZC5ZH,PROD_7PA2MO,TRANS_3CFDED,8,168.99,Electronics,75,Europe,0.04,4436.29,2020-05-15,2023-12-22,Winter,Morning,Discount,Low Risk,Medium Value,0.289,1,Re-engagement Campaign,0.04,0.0352,24.181982367576822,Maintain
CUST_FSDTLK,PROD_B4YT9N,TRANS_YS9IFG,7,52.13,Electronics,40,North America,0.08,549.09,2021-04-22,2023-04-14,Winter,Evening,Discount,Low Risk,Low Value,0.459,1,Standard Communication,0.08,0.08,6.745515892381417,Maintain
CUST_JPDA4D,PROD_C2Y1TF,TRANS_I949BV,12,121.6,Electronics,30,South America,0.76,3714.99,2021-06-21,2023-02-14,Fall,Afternoon,Loyalty Program,High Risk,Medium Value,0.647,0,Standard Communication,0.76,0.76,56.575395809499426,High Priority
CUST_H4OVTS,PROD_VCTO6F,TRANS_35JLNS,17,39.01,Sports,74,Europe,0.13,7543.91,2020-09-10,2023-03-17,Winter,Afternoon,Discount,Low Risk,High Value,0.532,1,Standard Communication,0.13,0.13,44.22045529092698,Monitor
CUST_Q19TO6,PROD_2WKC14,TRANS_TFY65O,13,161.93,Clothing,80,South America,0.23,6924.0,2022-07-18,2023-11-02,Summer,Evening,Email Campaign,Low Risk,High Value,0.393,1,Standard Communication,0.23,0.23,46.120830899941595,Monitor
CUST_QH5U2G,PROD_XISEVK,TRANS_BI87V2,10,69.27,Home,48,Asia,0.12,955.14,2022-11-03,2023-08-25,Summer,Morning,Email Campaign,Low Risk,Low Value,0.493,1,Standard Communication,0.12,0.12,10.77581461955087,Maintain
CUST_REKKSM,PROD_60BHU4,TRANS_7EEQ6S,5,78.06,Clothing,39,Asia,0.8,5970.92,2021-02-18,2023-12-07,Fall,Evening,Discount,High Risk,Medium Value,0.412,0,Standard Communication,0.8,0.8,69.85531652759667,High Priority
CUST_12P5SP,PROD_9HDA2G,TRANS_HVCWAE,4,37.09,Sports,76,Europe,0.05,6353.19,2022-08-04,2023-03-06,Spring,Afternoon,Discount,Low Risk,Medium Value,0.178,1,Re-engagement Campaign,0.05,0.044000000000000004,34.26671240109762,Monitor
CUST_934TJ6,PROD_ZNVVA4,TRANS_Y85IB3,10,105.61,Clothing,57,Asia,0.37,6435.21,2020-12-27,2023-11-13,Winter,Afternoon,Loyalty Program,Medium Risk,Medium Value,0.443,1,Discounts,0.37,0.34040000000000004,50.67682224373385,High Priority
CUST_FJPJ16,PROD_LIHMIO,TRANS_1B9BW3,13,65.97,Clothing,22,Asia,0.08,3889.56,2022-09-22,2023-04-16,Winter,Morning,Discount,Low Risk,Medium Value,0.719,1,Loyalty Programs,0.08,0.07200000000000001,23.4482667584022,Maintain
CUST_4LYGW1,PROD_CHEZ3Y,TRANS_BVJ93X,10,44.92,Electronics,71,North America,0.15,6286.12,2022-10-02,2023-12-19,Spring,Morning,Loyalty Program,Low Risk,Medium Value,0.364,1,Standard Communication,0.15,0.15,38.93135435250446,Monitor
CUST_SASUTZ,PROD_KDYCI7,TRANS_8M3BGP,13,175.81,Clothing,60,Europe,0.25,2173.1,2022-04-13,2023-12-06,Summer,Morning,Email Campaign,Low Risk,Low Value,0.505,1,Standard Communication,0.25,0.25,23.365760778258675,Maintain
CUST_1F6ITR,PROD_6JC3IE,TRANS_9N8RPV,4,48.07,Home,74,North America,0.94,182.6,2021-05-22,2023-04-07,Spring,Morning,Loyalty Program,High Risk,Low Value,0.19,0,Re-engagement Campaign,0.94,0.8271999999999999,47.9130219125259,Monitor
CUST_A8JHLW,PROD_W15OP6,TRANS_2RANWV,8,82.69,Clothing,67,Asia,0.28,7565.07,2022-05-17,2023-12-27,Summer,Morning,Loyalty Program,Low Risk,High Value,0.334,1,Standard Communication,0.28,0.28,51.82625783018792,High Priority
CUST_W8IZWM,PROD_JV3HSP,TRANS_VR2LMK,1,156.04,Electronics,45,North America,0.53,9792.55,2020-08-04,2023-12-02,Fall,Afternoon,Loyalty Program,Medium Risk,High Value,0.274,0,Discounts,0.53,0.48760000000000003,75.46392513420321,Immediate Action
CUST_6P1OQQ,PROD_VE9FAM,TRANS_DIIJRJ,8,46.0,Clothing,79,Asia,0.43,2945.99,2020-07-10,2023-06-23,Fall,Morning,Loyalty Program,Medium Risk,Low Value,0.267,0,Discounts,0.43,0.3956,36.230303527284654,Monitor
CUST_A6XFY9,PROD_FOM3QG,TRANS_T1L4M8,1,186.54,Sports,72,South America,0.22,5576.28,2021-03-21,2023-01-25,Summer,Morning,Discount,Low Risk,Medium Value,0.122,1,Re-engagement Campaign,0.22,0.1936,38.88206916966007,Monitor
CUST_MW3LV2,PROD_BRGWOE,TRANS_JG2Z1Q,14,157.37,Sports,36,Asia,0.37,726.95,2020-10-19,2023-04-16,Summer,Evening,Email Campaign,Medium Risk,Low Value,0.666,1,Discounts,0.37,0.34040000000000004,22.134837236093666,Maintain
CUST_A9PHFE,PROD_W78Y00,TRANS_KX7QRM,16,175.7,Clothing,81,Asia,0.76,3128.79,2022-11-07,2023-06-03,Winter,Evening,Email Campaign,High Risk,Low Value,0.466,0,Standard Communication,0.76,0.76,53.64432546381113,High Priority
CUST_HOB0YK,PROD_OE7XRF,TRANS_JE2056,10,138.67,Sports,42,Europe,0.74,8802.47,2022-01-11,2023-09-30,Fall,Morning,Loyalty Program,High Risk,High Value,0.527,0,VIP Treatment,0.74,0.629,81.01340632175172,Immediate Action
CUST_BRRRRU,PROD_VK226H,TRANS_JJBKYL,3,172.19,Electronics,51,North America,0.24,843.02,2022-10-07,2023-08-02,Summer,Evening,Loyalty Program,Low Risk,Low Value,0.292,1,Re-engagement Campaign,0.24,0.2112,16.215201164827956,Maintain
CUST_DA0I76,PROD_FXKWAD,TRANS_OS9M5E,8,30.95,Home,60,Asia,0.25,7759.72,2021-08-11,2023-09-24,Fall,Evening,Loyalty Program,Low Risk,High Value,0.373,1,Standard Communication,0.25,0.25,51.29953118874853,High Priority
CUST_7GAVM9,PROD_PUWL9C,TRANS_1N44GP,11,69.05,Home,74,North America,0.04,3421.3,2020-01-04,2023-06-30,Summer,Morning,Loyalty Program,Low Risk,Medium Value,0.374,1,Standard Communication,0.04,0.04,19.106910565853582,Maintain
CUST_Z6QSTD,PROD_ZKTGY4,TRANS_MPRMR4,5,32.18,Sports,61,North America,0.23,2682.46,2022-12-24,2023-02-08,Spring,Afternoon,Loyalty Program,Low Risk,Low Value,0.289,1,Re-engagement Campaign,0.23,0.2024,24.91262190292567,Maintain
CUST_HXOYK8,PROD_0HPPRU,TRANS_L6C5IH,7,35.98,Home,6,South America,0.08,3408.85,2021-08-11,2023-11-27,Summer,Afternoon,Email Campaign,Low Risk,Medium Value,0.651,1,Standard Communication,0.08,0.08,21.044659071817723,Maintain
CUST_VLBL5K,PROD_JQKMA9,TRANS_B1AGUQ,10,97.5,Sports,63,South America,0.39,6008.65,2022-11-03,2023-07-08,Winter,Morning,Loyalty Program,Medium Risk,Medium Value,0.409,1,Discounts,0.39,0.3588,49.54397105530532,Monitor
CUST_5T9TN8,PROD_J0NICY,TRANS_UR3NI6,1,120.55,Electronics,25,Europe,0.86,4170.5,2020-01-01,2023-09-13,Fall,Afternoon,Discount,High Risk,Medium Value,0.386,0,Standard Communication,0.86,0.86,63.85300047201133,High Priority
CUST_2WBGJJ,PROD_5RE3HX,TRANS_DHYRAM,19,103.19,Clothing,53,South America,0.12,666.12,2022-07-04,2023-10-15,Spring,Evening,Discount,Low Risk,Low Value,0.702,1,Loyalty Programs,0.12,0.108,9.330679936318472,Maintain
CUST_I40LLF,PROD_J7IA73,TRANS_O0F7IU,11,61.74,Clothing,24,North America,0.49,1517.8,2020-06-28,2023-11-18,Spring,Evening,Discount,Medium Risk,Low Value,0.655,0,Discounts,0.49,0.45080000000000003,32.08918214037137,Monitor
CUST_7USGEB,PROD_KYQOGN,TRANS_8PY3IV,10,128.51,Clothing,19,South America,0.1,977.86,2021-06-10,2023-03-09,Fall,Evening,Email Campaign,Low Risk,Low Value,0.656,1,Standard Communication,0.1,0.1,9.889417346016305,Maintain
CUST_ZYJ13O,PROD_ULSC9X,TRANS_PIZN0P,8,72.7,Home,83,South America,0.86,7231.13,2020-03-19,2023-03-16,Winter,Afternoon,Discount,High Risk,High Value,0.244,0,VIP Treatment,0.86,0.731,79.15651775642615,Immediate Action
