Customer_ID,Risk_Level,LTV_Segment,Engagement_Score,Priority_Score,Action_Priority
CUST_PBDQSR,Medium Risk,Medium Value,0.339,41.58592006208149,Monitor
CUST_4D8TQ7,Low Risk,Medium Value,0.114,37.79047497139931,Monitor
CUST_PE88A7,Medium Risk,High Value,0.764,75.9685752458059,Immediate Action
CUST_FQDNFA,High Risk,Low Value,0.388,49.3588486123667,Monitor
CUST_5LNW0H,High Risk,Medium Value,0.551,68.66298391161388,High Priority
CUST_5YEMJD,High Risk,Medium Value,0.364,50.85090042161012,High Priority
CUST_QU7QVL,Low Risk,Medium Value,0.392,39.46756122146932,Monitor
CUST_29DO3Z,Low Risk,Low Value,0.394,20.43050233205597,Maintain
CUST_L6Y0LJ,Low Risk,High Value,0.454,53.782128771090505,High Priority
CUST_3CJ2R1,Low Risk,Medium Value,0.42,31.282134771234507,Monitor
CUST_TWR7Q9,High Risk,Low Value,0.655,62.39059337424098,High Priority
CUST_BT8F7N,Low Risk,High Value,0.493,54.56652159651832,High Priority
CUST_44WU3H,High Risk,High Value,0.807,98.3873232957591,Immediate Action
CUST_9CCEOL,Low Risk,High Value,0.3,39.150391609398625,Monitor
CUST_5CMJNC,High Risk,High Value,0.502,99.42188612526701,Immediate Action
CUST_RIOS1B,High Risk,High Value,0.285,87.20054281302751,Immediate Action
CUST_UHM0W0,Medium Risk,Low Value,0.918,17.405507732185573,Maintain
CUST_XYCV8A,Low Risk,Medium Value,0.21,34.449926798243155,Monitor
CUST_1XBJ9U,Medium Risk,Medium Value,0.887,55.18153435682456,High Priority
CUST_SG4B8W,Low Risk,Low Value,0.522,16.572811747481943,Maintain
CUST_YNB5QL,Medium Risk,Medium Value,0.122,50.73242357816588,High Priority
CUST_UL763Z,Medium Risk,Low Value,0.525,34.04608510604254,Monitor
CUST_PLP8HF,Low Risk,Medium Value,0.536,25.75111002664064,Monitor
CUST_RB6RRC,Medium Risk,Medium Value,0.105,41.50020800499212,Monitor
CUST_E8RVBQ,Medium Risk,Medium Value,0.48,51.89574749793995,High Priority
CUST_BY0GMM,High Risk,High Value,0.242,79.50195404689711,Immediate Action
CUST_A2HM1J,Medium Risk,High Value,0.683,59.9258682208373,High Priority
CUST_8G18L2,High Risk,Low Value,0.423,57.65620574893798,High Priority
CUST_G141RX,High Risk,Medium Value,0.735,69.66368792851029,High Priority
CUST_VZC5ZH,Low Risk,Medium Value,0.289,24.181982367576822,Maintain
CUST_FSDTLK,Low Risk,Low Value,0.459,6.745515892381417,Maintain
CUST_JPDA4D,High Risk,Medium Value,0.647,56.575395809499426,High Priority
CUST_H4OVTS,Low Risk,High Value,0.532,44.22045529092698,Monitor
CUST_Q19TO6,Low Risk,High Value,0.393,46.120830899941595,Monitor
CUST_QH5U2G,Low Risk,Low Value,0.493,10.77581461955087,Maintain
CUST_REKKSM,High Risk,Medium Value,0.412,69.85531652759667,High Priority
CUST_12P5SP,Low Risk,Medium Value,0.178,34.26671240109762,Monitor
CUST_934TJ6,Medium Risk,Medium Value,0.443,50.67682224373385,High Priority
CUST_FJPJ16,Low Risk,Medium Value,0.719,23.4482667584022,Maintain
CUST_4LYGW1,Low Risk,Medium Value,0.364,38.93135435250446,Monitor
CUST_SASUTZ,Low Risk,Low Value,0.505,23.365760778258675,Maintain
CUST_1F6ITR,High Risk,Low Value,0.19,47.9130219125259,Monitor
CUST_A8JHLW,Low Risk,High Value,0.334,51.82625783018792,High Priority
CUST_W8IZWM,Medium Risk,High Value,0.274,75.46392513420321,Immediate Action
CUST_6P1OQQ,Medium Risk,Low Value,0.267,36.230303527284654,Monitor
CUST_A6XFY9,Low Risk,Medium Value,0.122,38.88206916966007,Monitor
CUST_MW3LV2,Medium Risk,Low Value,0.666,22.134837236093666,Maintain
CUST_A9PHFE,High Risk,Low Value,0.466,53.64432546381113,High Priority
CUST_HOB0YK,High Risk,High Value,0.527,81.01340632175172,Immediate Action
CUST_BRRRRU,Low Risk,Low Value,0.292,16.215201164827956,Maintain
CUST_DA0I76,Low Risk,High Value,0.373,51.29953118874853,High Priority
CUST_7GAVM9,Low Risk,Medium Value,0.374,19.106910565853582,Maintain
CUST_Z6QSTD,Low Risk,Low Value,0.289,24.91262190292567,Maintain
CUST_HXOYK8,Low Risk,Medium Value,0.651,21.044659071817723,Maintain
CUST_VLBL5K,Medium Risk,Medium Value,0.409,49.54397105530532,Monitor
CUST_5T9TN8,High Risk,Medium Value,0.386,63.85300047201133,High Priority
CUST_2WBGJJ,Low Risk,Low Value,0.702,9.330679936318472,Maintain
CUST_I40LLF,Medium Risk,Low Value,0.655,32.08918214037137,Monitor
CUST_7USGEB,Low Risk,Low Value,0.656,9.889417346016305,Maintain
CUST_ZYJ13O,High Risk,High Value,0.244,79.15651775642615,Immediate Action
CUST_ZIMOOB,Low Risk,Low Value,0.505,20.33340000160004,Maintain
CUST_BQQQVX,Medium Risk,Low Value,0.244,21.836468075233807,Maintain
CUST_52EO2K,Low Risk,High Value,0.52,52.19470867300815,High Priority
CUST_0H7Z3X,Low Risk,High Value,0.368,50.985117642823425,High Priority
CUST_QAXZQT,Medium Risk,High Value,0.596,59.326211829083896,High Priority
CUST_ZJT22H,High Risk,Low Value,0.696,61.75236605678536,High Priority
CUST_4RESKZ,High Risk,Low Value,0.557,36.140115362768704,Monitor
CUST_7U3ZEK,Low Risk,High Value,0.332,37.649305583334,Monitor
CUST_S6QIFA,Medium Risk,Low Value,0.483,23.557685384449226,Maintain
CUST_Z2QK0K,Low Risk,High Value,0.416,56.02946470715297,High Priority
CUST_11IJ74,Medium Risk,Low Value,0.537,35.364970759298224,Monitor
CUST_ZM1Y63,Low Risk,High Value,0.64,42.99802795267086,Monitor
CUST_2V0EZT,Low Risk,Low Value,0.643,20.00211405073722,Maintain
CUST_1YC4YV,High Risk,Low Value,0.264,45.98723769370465,Monitor
CUST_E2YRB5,Medium Risk,Low Value,0.529,26.125749017976432,Monitor
CUST_H4DM4P,Low Risk,Low Value,0.16,22.161091866204785,Maintain
CUST_EGCZS5,High Risk,High Value,0.399,82.78256078145876,Immediate Action
CUST_P2B7RK,Medium Risk,Low Value,0.506,38.6668300039201,Monitor
CUST_2MCHA9,High Risk,High Value,0.764,76.38860932662385,Immediate Action
CUST_FGBXDV,Low Risk,Medium Value,0.504,36.52102850468411,Monitor
CUST_U3CUD6,Low Risk,Medium Value,0.514,23.700310807459378,Maintain
CUST_QCUD86,Low Risk,High Value,0.548,45.59834036016864,Monitor
CUST_VP4IIN,Medium Risk,Low Value,0.302,19.59093618246838,Maintain
CUST_9EBJL3,Medium Risk,High Value,0.602,62.313729529508706,High Priority
CUST_TBJH1N,High Risk,Low Value,0.363,53.62675304207301,High Priority
CUST_0CB73G,High Risk,Low Value,0.263,49.58225597414338,Monitor
CUST_DCB05J,High Risk,High Value,0.713,82.85968863252718,Immediate Action
CUST_F2V19Q,Medium Risk,Medium Value,0.356,46.639285342848225,Monitor
CUST_7WS7QT,High Risk,Low Value,0.231,54.902353656487755,High Priority
CUST_EYA1WF,High Risk,Medium Value,0.565,66.09432426378233,High Priority
CUST_85N1LQ,Medium Risk,High Value,0.702,63.17574421786123,High Priority
CUST_HBN26L,Low Risk,Medium Value,0.674,29.295087082089967,Monitor
CUST_7DL54F,High Risk,Low Value,0.556,60.17441418594046,High Priority
CUST_UUECOU,High Risk,Medium Value,0.635,65.68790850980423,High Priority
CUST_D3OZEV,High Risk,Medium Value,0.584,63.9171880125123,High Priority
CUST_3OW1VU,Medium Risk,Medium Value,0.347,48.771184508428206,Monitor
CUST_W2GG22,High Risk,Medium Value,0.143,57.38640327367857,High Priority
CUST_9JYH3O,Medium Risk,High Value,0.244,55.76607238573725,High Priority
CUST_UJJ5AB,Medium Risk,Medium Value,0.418,42.5387209293023,Monitor
CUST_HGIUYL,Medium Risk,High Value,0.8,67.03270678496284,High Priority
CUST_DLK1QI,Low Risk,High Value,0.418,58.06205748937975,High Priority
CUST_P50GJC,High Risk,Low Value,0.496,43.71062305495332,Monitor
CUST_MQVQQP,Low Risk,Medium Value,0.222,29.022498539964957,Monitor
CUST_G2QS02,High Risk,Medium Value,0.481,79.43285238845732,Immediate Action
CUST_4AARW5,High Risk,High Value,0.342,94.88511124266984,Immediate Action
CUST_0UZG1E,Medium Risk,Medium Value,0.612,40.785426850244406,Monitor
CUST_3AUFK5,High Risk,Low Value,0.358,43.04463507124171,Monitor
CUST_YS4VJ7,High Risk,Medium Value,0.782,69.99438386521277,High Priority
CUST_HCJJXE,Medium Risk,Low Value,0.478,31.619338864132743,Monitor
CUST_CMZMO3,Low Risk,Low Value,0.053,6.705140923382161,Maintain
CUST_LMBIH0,Low Risk,Medium Value,0.696,24.682632383177197,Maintain
CUST_OO4P5H,Medium Risk,High Value,0.469,70.05671936126467,High Priority
CUST_VZTSAO,Medium Risk,High Value,0.24,64.08146195508692,High Priority
CUST_PLF51R,Low Risk,High Value,0.103,50.764142339416146,High Priority
CUST_THMDAK,Low Risk,High Value,0.765,39.346870324887796,Monitor
CUST_DR9L6G,Medium Risk,High Value,0.385,62.62061889485348,High Priority
CUST_AXFVPG,Medium Risk,High Value,0.431,72.6548597166332,High Priority
CUST_ERZKTJ,Low Risk,Medium Value,0.576,28.249855996543918,Monitor
CUST_C4UFOO,Medium Risk,Medium Value,0.691,42.78929294303063,Monitor
CUST_2ONHSS,Low Risk,Low Value,0.496,18.63722729345504,Maintain
CUST_4DG1SV,Medium Risk,Low Value,0.78,27.612304695312687,Monitor
CUST_8RJ2UJ,Low Risk,Medium Value,0.416,33.56762962311095,Monitor
CUST_X4L864,Medium Risk,High Value,0.756,57.98829571909725,High Priority
CUST_L5137D,Low Risk,High Value,0.441,44.987817707624984,Monitor
CUST_A8R4U9,Low Risk,Low Value,0.287,12.36086866084786,Maintain
CUST_I9LOHF,Medium Risk,Medium Value,0.376,55.41350192404617,High Priority
CUST_PNARK0,Medium Risk,Low Value,0.884,30.691190588574123,Monitor
CUST_ETNPOR,Low Risk,Medium Value,0.615,28.938580525932622,Monitor
CUST_P3FKPA,High Risk,High Value,0.803,72.39978159475828,High Priority
CUST_4RS6HS,Medium Risk,Low Value,0.596,34.889027336656085,Monitor
CUST_OAXA2N,Medium Risk,High Value,0.362,57.912249893997455,High Priority
CUST_F58QRC,Low Risk,Low Value,0.54,7.50579813915534,Maintain
CUST_NEROOC,High Risk,Medium Value,0.452,60.827839868156836,High Priority
CUST_I32763,High Risk,Medium Value,0.148,70.34763634327224,High Priority
CUST_A1QNX1,Low Risk,High Value,0.715,61.78799491187789,High Priority
CUST_R73TA0,High Risk,Medium Value,0.728,78.58163195916703,Immediate Action
CUST_CHXLKZ,High Risk,Low Value,0.348,53.31464155139723,High Priority
CUST_Y3G8FH,Low Risk,High Value,0.553,51.433560405449725,High Priority
CUST_7I1KVL,Medium Risk,High Value,0.786,61.55913741929806,High Priority
CUST_LG02EX,High Risk,High Value,0.535,69.41606198548766,High Priority
CUST_AD2D3A,High Risk,Medium Value,0.59,61.047221133307204,High Priority
CUST_QHV233,Low Risk,Low Value,0.592,6.666866004784115,Maintain
CUST_AC60O5,High Risk,Medium Value,0.133,61.94684672432138,High Priority
CUST_SUZMBI,High Risk,Low Value,0.625,48.29796515116363,Monitor
CUST_8631Y9,Medium Risk,High Value,0.425,60.95339888157316,High Priority
CUST_P43D45,Low Risk,High Value,0.552,37.062441498595966,Monitor
CUST_A8D38V,High Risk,Medium Value,0.271,70.40628175076202,High Priority
CUST_GAIDRM,Medium Risk,Medium Value,0.223,46.79395505492131,Monitor
CUST_7IUYYY,Low Risk,High Value,0.543,46.36784282822788,Monitor
CUST_1KN2A8,Low Risk,Low Value,0.171,21.791883005192126,Maintain
CUST_GG7RC6,High Risk,Medium Value,0.726,69.50436810483453,High Priority
CUST_W3D7AU,High Risk,Medium Value,0.745,70.13521724521388,High Priority
CUST_FNGS8H,Low Risk,Low Value,0.484,15.968893253438083,Maintain
CUST_3USKKH,Low Risk,Low Value,0.589,27.126865044761075,Monitor
CUST_LQSSAP,High Risk,Low Value,0.358,51.47395137483299,High Priority
CUST_UZBGZM,Medium Risk,Medium Value,0.441,40.55990543773051,Monitor
CUST_MENASY,Low Risk,High Value,0.533,54.9262162291895,High Priority
CUST_B9TQ73,High Risk,High Value,0.255,90.22895149483588,Immediate Action
CUST_HMS7NA,High Risk,Low Value,0.204,51.16460995063881,High Priority
CUST_DJ3OOX,Medium Risk,High Value,0.796,56.15110762658304,High Priority
CUST_DEPZGJ,High Risk,Medium Value,0.323,57.30317527620663,High Priority
CUST_57JXF3,Medium Risk,Low Value,0.514,26.60803859292623,Monitor
CUST_S9BHPD,High Risk,Low Value,0.348,51.664389945358685,High Priority
CUST_EMDJBW,Medium Risk,Low Value,0.613,23.04273102554461,Maintain
CUST_WT60W2,Medium Risk,Low Value,0.364,32.552623262958306,Monitor
CUST_P5J7SU,Low Risk,Medium Value,0.358,34.58088994135859,Monitor
CUST_SJTJX3,Medium Risk,Low Value,0.895,34.073587766106385,Monitor
CUST_HOBAHX,Medium Risk,Low Value,0.493,26.658287798907175,Monitor
CUST_VV0YS6,Low Risk,Medium Value,0.13,45.45055481331552,Monitor
CUST_5CZ6NA,Low Risk,High Value,0.788,46.943426642239416,Monitor
CUST_EL7O0W,Medium Risk,Low Value,0.625,34.84450626815043,Monitor
CUST_EDUCQO,Low Risk,Low Value,0.424,10.006058145395489,Maintain
CUST_LIEEO1,Low Risk,Medium Value,0.171,34.81973367360817,Monitor
CUST_YDWNXE,Medium Risk,High Value,0.026,63.52251654039697,High Priority
CUST_XYICEF,Low Risk,Low Value,0.426,11.064379545109082,Maintain
CUST_2HCWYF,High Risk,Medium Value,0.888,70.15089362144691,High Priority
CUST_PREA2U,Medium Risk,Low Value,0.394,31.765732377577063,Monitor
CUST_N6E2GD,High Risk,High Value,0.392,80.42853828491883,Immediate Action
CUST_E8OER3,High Risk,Low Value,0.248,39.34466227189453,Monitor
CUST_Y95FNF,High Risk,High Value,0.538,84.9034536828884,Immediate Action
CUST_7XKEIS,Medium Risk,Medium Value,0.736,48.33968615246766,Monitor
CUST_S04624,Medium Risk,Low Value,0.186,36.27560261446275,Monitor
CUST_4HNBXP,Medium Risk,Medium Value,0.554,46.987029688712525,Monitor
CUST_QP0EZS,Medium Risk,Medium Value,0.87,37.50614414745954,Monitor
CUST_U1KVT8,Medium Risk,Low Value,0.818,31.855942542621026,Monitor
CUST_2L0EV4,High Risk,Low Value,0.634,56.20563893533445,High Priority
CUST_MMFK6X,High Risk,Medium Value,0.375,68.38665127963071,High Priority
CUST_OV9EGX,Low Risk,Medium Value,0.21,24.386541276990645,Maintain
CUST_4XNH15,Medium Risk,High Value,0.382,55.09718033232797,High Priority
CUST_HGC6UD,High Risk,Low Value,0.532,54.53578885893261,High Priority
CUST_3LNJ4E,Low Risk,Medium Value,0.541,35.55655535732858,Monitor
CUST_3LSGSP,Medium Risk,Low Value,0.658,24.316523596566316,Maintain
CUST_TW4F0U,High Risk,High Value,0.779,83.93062433498403,Immediate Action
CUST_R7HYAW,Medium Risk,High Value,0.323,63.99206380953143,High Priority
CUST_AXATBL,Low Risk,Low Value,0.411,9.468617246813924,Maintain
CUST_QJ4418,High Risk,Medium Value,0.69,75.15015160363848,Immediate Action
CUST_9M2R96,High Risk,Low Value,0.645,41.49607990591774,Monitor
CUST_1I0MKG,High Risk,Medium Value,0.504,57.29889517348416,High Priority
CUST_KI4WD8,Low Risk,High Value,0.364,47.365200764818354,Monitor
CUST_JOE853,Low Risk,Low Value,0.519,14.072839748153957,Maintain
CUST_RY3QPC,High Risk,Low Value,0.908,61.06951366832804,High Priority
CUST_JCWF3E,Low Risk,Low Value,0.675,25.395009480227525,Monitor
CUST_RS16ZL,High Risk,Medium Value,0.426,65.57456578957894,High Priority
CUST_KKT56X,Low Risk,High Value,0.567,42.419194060657446,Monitor
CUST_N9NLPB,Medium Risk,Medium Value,0.323,51.29798115154764,High Priority
CUST_8EE5OK,Medium Risk,Low Value,0.289,17.86216869204861,Maintain
CUST_CP9S2B,High Risk,High Value,0.814,92.6352472459339,Immediate Action
CUST_MJGWUH,Medium Risk,Medium Value,0.411,34.748987975711415,Monitor
CUST_IQQ5A0,High Risk,High Value,0.225,86.17473819371665,Immediate Action
CUST_HQ89PU,High Risk,High Value,0.771,81.15441770602494,Immediate Action
CUST_3B9PJ4,Low Risk,High Value,0.695,51.733627607062566,High Priority
CUST_020NQX,High Risk,Low Value,0.496,39.61405673736169,Monitor
CUST_1UXOIT,Low Risk,Medium Value,0.961,34.42200012800308,Monitor
CUST_JYFOYJ,Medium Risk,High Value,0.525,51.23640967383217,High Priority
CUST_XV2OOT,Low Risk,Low Value,0.607,13.828955894941478,Maintain
CUST_V3VD8T,High Risk,High Value,0.523,75.43326839844156,Immediate Action
CUST_O3CBJO,Medium Risk,Low Value,0.685,30.369532868788852,Monitor
CUST_M40O01,Low Risk,Low Value,0.24,22.965947182732386,Maintain
CUST_GMY9V2,Medium Risk,Low Value,0.42,32.72267734425626,Monitor
CUST_7XRE5C,Medium Risk,Low Value,0.495,38.95229485507652,Monitor
CUST_XRS1IN,Low Risk,High Value,0.451,38.614178740289766,Monitor
CUST_MOSOGJ,High Risk,Medium Value,0.781,74.79750114002736,High Priority
CUST_UETE7J,Medium Risk,Medium Value,0.657,49.09188620526892,Monitor
CUST_JF8LX6,High Risk,Medium Value,0.441,65.62580301927247,High Priority
CUST_D634AD,Low Risk,High Value,0.574,55.48777970671296,High Priority
CUST_LOXMXC,High Risk,Low Value,0.771,56.985983663607925,High Priority
CUST_NZJ8I1,Medium Risk,Medium Value,0.525,49.997255934142416,Monitor
CUST_WHYCT9,Medium Risk,Low Value,0.564,31.482475579413908,Monitor
CUST_DVK54A,Medium Risk,High Value,0.377,65.77983871612918,High Priority
CUST_5LSR7E,Medium Risk,High Value,0.679,72.43946454714913,High Priority
CUST_QBQF1P,Medium Risk,Low Value,0.499,34.76225029400705,Monitor
CUST_KSNIL6,High Risk,High Value,0.259,92.36981087546101,Immediate Action
CUST_Q0WHAG,Low Risk,High Value,0.729,50.56576357832588,High Priority
CUST_M702RV,High Risk,Medium Value,0.644,68.38760730257526,High Priority
CUST_NLEP83,High Risk,Medium Value,0.73,68.70464291142987,High Priority
CUST_WZI1TV,Medium Risk,High Value,0.146,66.46217709225022,High Priority
CUST_6KA8CY,Medium Risk,High Value,0.315,54.15615574773794,High Priority
CUST_BGPHO9,High Risk,Medium Value,0.546,63.007214173140156,High Priority
CUST_59NU2J,High Risk,High Value,0.351,79.18451242829829,Immediate Action
CUST_DI8MAW,High Risk,High Value,0.425,78.59382825187805,Immediate Action
CUST_O7YEPN,Medium Risk,High Value,0.57,57.82685384449227,High Priority
CUST_I94VDI,High Risk,Medium Value,0.449,67.57249773994576,High Priority
CUST_TQOVPP,Medium Risk,Medium Value,0.485,54.21416313991536,High Priority
CUST_WZOK8D,Low Risk,Low Value,0.25,16.292721025304605,Maintain
CUST_87ECSH,High Risk,Medium Value,0.244,67.524298583166,High Priority
CUST_3HUDDU,High Risk,High Value,0.263,75.70130683136395,Immediate Action
CUST_611PJ6,Low Risk,High Value,0.623,53.959403025672614,High Priority
CUST_GJ7SRO,Low Risk,High Value,0.934,57.174946198708774,High Priority
CUST_CRNS6Q,High Risk,Medium Value,0.599,68.31917766026385,High Priority
CUST_19E0I2,High Risk,High Value,0.148,81.20315887581302,Immediate Action
CUST_Q7XXDF,Medium Risk,High Value,0.323,68.0015720377289,High Priority
CUST_F0Q7R4,High Risk,Low Value,0.792,45.55935142443418,Monitor
CUST_4FRN3I,High Risk,High Value,0.21,82.40418370040881,Immediate Action
CUST_4XXYLZ,High Risk,Medium Value,0.36,70.94036856884566,High Priority
CUST_XDLJZS,Low Risk,Low Value,0.381,14.882847188332521,Maintain
CUST_KW7TOP,Medium Risk,Low Value,0.619,32.25478011472275,Monitor
CUST_7DHUA9,Medium Risk,Low Value,0.595,28.84741433794411,Monitor
CUST_R77KDO,Medium Risk,High Value,0.328,57.66589198140755,High Priority
CUST_UXQPHJ,Low Risk,High Value,0.955,47.502034048817166,Monitor
CUST_RWGDH9,Medium Risk,Medium Value,0.423,44.509408225797415,Monitor
CUST_X00RSD,High Risk,Medium Value,0.411,65.45690096562318,High Priority
CUST_I1P12Y,High Risk,Low Value,0.369,48.463513124314986,Monitor
CUST_2KLMD7,High Risk,Medium Value,0.636,77.16912605902542,Immediate Action
CUST_ZHROPM,High Risk,High Value,0.473,72.07195972703344,High Priority
CUST_JS4VEH,High Risk,Low Value,0.69,39.40740177764266,Monitor
CUST_5N5HSG,High Risk,Medium Value,0.755,65.42998831971967,High Priority
CUST_BWP6EV,High Risk,High Value,0.649,76.68786850884422,Immediate Action
CUST_F7T57R,High Risk,Low Value,0.178,56.89688552525261,High Priority
CUST_F7Q3S1,Medium Risk,Medium Value,0.507,41.159535828859894,Monitor
CUST_B7IMLD,Medium Risk,Medium Value,0.425,54.77551861244669,High Priority
CUST_CFVQ2Y,Medium Risk,Medium Value,0.816,48.76411433874413,Monitor
CUST_6NOQGY,Low Risk,Low Value,0.854,15.421846124306983,Maintain
CUST_R0C1NN,Low Risk,Medium Value,0.56,35.41398593566245,Monitor
CUST_K8VU42,High Risk,Low Value,0.848,50.37449298783171,High Priority
CUST_GR0GUR,High Risk,Medium Value,0.3,77.5253226077426,Immediate Action
CUST_DLUH1W,High Risk,Low Value,0.658,40.70246285910862,Monitor
CUST_L1CFTB,Low Risk,High Value,0.174,52.47212933110394,High Priority
CUST_E3LWZI,High Risk,High Value,0.502,78.62460499051977,Immediate Action
CUST_HTAIZ0,Low Risk,Low Value,0.85,17.57050369208861,Maintain
CUST_TXTNSY,Low Risk,Medium Value,0.525,29.249681992367815,Monitor
CUST_62GG70,Medium Risk,High Value,0.35,60.888531324751796,High Priority
CUST_EC5OLS,Low Risk,Low Value,0.448,5.195326687840508,Maintain
CUST_RMQZO4,High Risk,High Value,0.266,81.56576757842188,Immediate Action
CUST_GIM0YU,High Risk,Low Value,0.893,64.46609718633248,High Priority
CUST_KH0YA2,High Risk,Low Value,0.687,51.46135307247374,High Priority
CUST_IW23JV,Low Risk,High Value,0.7,49.82250974023376,Monitor
CUST_SPBM6W,High Risk,Medium Value,0.581,76.7592022208533,Immediate Action
CUST_04IZH6,High Risk,Low Value,0.719,64.85473051353233,High Priority
CUST_MPE2P1,Low Risk,Medium Value,0.163,35.81484755634135,Monitor
CUST_I4IC0U,High Risk,Low Value,0.308,39.83990015760378,Monitor
CUST_FI8N1E,High Risk,Low Value,0.481,49.06675160203845,Monitor
CUST_9OV5SJ,Medium Risk,Medium Value,0.442,47.60439250542014,Monitor
CUST_J772ZQ,Low Risk,Low Value,0.499,11.830259926238229,Maintain
CUST_GTQ6QF,Low Risk,Medium Value,0.82,25.539076937846506,Monitor
CUST_2ABKP8,Medium Risk,Low Value,0.367,34.461123066953604,Monitor
CUST_8Q1EN3,Low Risk,Low Value,0.442,13.19981079545909,Maintain
CUST_RAYM3R,Low Risk,Low Value,0.242,14.261704280902741,Maintain
CUST_OU32PM,High Risk,Low Value,0.467,44.827981871564916,Monitor
CUST_ETLE29,High Risk,Low Value,0.732,38.33573205756938,Monitor
CUST_3UDPXA,High Risk,Low Value,0.675,41.32446378713089,Monitor
CUST_MVKW70,Low Risk,Low Value,0.752,18.347054329303905,Maintain
CUST_L0V34A,High Risk,High Value,0.257,82.78011072265734,Immediate Action
CUST_QYY8NB,Medium Risk,Low Value,0.077,29.108204596910326,Monitor
CUST_VVEFPN,High Risk,Low Value,0.469,46.367010808259394,Monitor
CUST_08I8F5,Low Risk,Low Value,0.501,24.099542389017337,Maintain
CUST_RD6I98,Low Risk,Low Value,0.41,11.006420154083699,Maintain
CUST_86PYLF,Low Risk,High Value,0.48,46.61489875757019,Monitor
CUST_HQ8BJ6,High Risk,Medium Value,0.321,77.74578589886158,Immediate Action
CUST_ZOHGIM,Medium Risk,High Value,0.724,71.9633411201869,High Priority
CUST_X2M2OU,High Risk,High Value,0.527,79.07047969151259,Immediate Action
CUST_A76UD3,Medium Risk,High Value,0.58,60.39781354752514,High Priority
CUST_N5KOJL,Medium Risk,High Value,0.61,59.60189244541869,High Priority
CUST_NYIL4U,High Risk,High Value,0.614,69.45202684864437,High Priority
CUST_PJ39E8,High Risk,Medium Value,0.381,69.66119786874886,High Priority
CUST_FIWD0L,High Risk,Low Value,0.481,45.20747297935151,Monitor
